"","x"
"1",0.01749316
"2",0.01139078
"3",0.01512399
"4",0.01476502
"5",0.006508857
"6",-0.002321631
"7",-0.01309052
"8",-0.01775706
"9",-0.02558246
"10",-0.04029995
"11",-0.05121243
"12",-0.05523282
"13",-0.05616614
"14",-0.05236113
"15",-0.04661772
"16",-0.041664
"17",-0.03218737
"18",-0.01804423
"19",-0.00418824
"20",-9.605289e-05
"21",-0.006916374
"22",-0.01043421
"23",-0.0006704032
"24",0.008662641
"25",0.005360186
"26",-0.005049765
"27",-0.0113675
"28",-0.008711189
"29",-0.004116446
"30",-0.003111362
"31",-9.605289e-05
"32",0.007944733
"33",0.01332918
"34",0.01641628
"35",0.01986232
"36",0.0209392
"37",0.02022126
"38",0.01677522
"39",0.01447785
"40",0.01131898
"41",0.002201319
"42",-0.004619002
"43",-0.00985986
"44",-0.01639301
"45",-0.01689553
"46",-0.01316231
"47",-0.01093674
"48",-0.0133059
"49",-0.01596224
"50",-0.01940829
"51",-0.01775706
"52",-0.01273158
"53",-0.00777787
"54",-0.003039569
"55",0.003637165
"56",0.01160616
"57",0.0178521
"58",0.02416983
"59",0.02524677
"60",0.02790305
"61",0.03170809
"62",0.03063121
"63",0.02646723
"64",0.0225186
"65",0.02072379
"66",0.01612911
"67",0.008878022
"68",0.002847433
"69",-0.005480498
"70",-0.0144546
"71",-0.01969546
"72",-0.02156207
"73",-0.02529529
"74",-0.02924389
"75",-0.02744907
"76",-0.0270901
"77",-0.03283352
"78",-0.03864872
"79",-0.04525363
"80",-0.0535816
"81",-0.05674046
"82",-0.05501744
"83",-0.05200216
"84",-0.04690486
"85",-0.04037175
"86",-0.03793079
"87",-0.03606418
"88",-0.03505909
"89",-0.03814617
"90",-0.03943843
"91",-0.02220821
"92",0.007657558
"93",0.03242603
"94",0.04944089
"95",0.05425099
"96",0.04872295
"97",0.03730795
"98",0.01569834
"99",-0.01244441
"100",-0.04633054
"101",-0.0720323
"102",-0.07002211
"103",-0.03929484
"104",0.003996134
"105",0.03687719
"106",0.04585126
"107",0.03730795
"108",0.03012863
"109",0.02955434
"110",0.03335932
"111",0.04161546
"112",0.05669191
"113",0.06580958
"114",0.05697909
"115",0.0406104
"116",0.03824124
"117",0.05468175
"118",0.0670301
"119",0.06071231
"120",0.04297957
"121",0.02294937
"122",0.01433426
"123",0.03091839
"124",0.06882492
"125",0.1087416
"126",0.1309256
"127",0.1354485
"128",0.1330076
"129",0.120372
"130",0.1039315
"131",0.09287545
"132",0.08239374
"133",0.06595317
"134",0.03127733
"135",-0.01940829
"136",-0.07267845
"137",-0.1059184
"138",-0.1027596
"139",-0.08172432
"140",-0.05121243
"141",-0.01222903
"142",0.01088822
"143",0.006221682
"144",-0.01589045
"145",-0.04245374
"146",-0.06442228
"147",-0.07504761
"148",-0.0700939
"149",-0.05738661
"150",-0.04812536
"151",-0.05408415
"152",-0.07217589
"153",-0.08674979
"154",-0.08244225
"155",-0.05896604
"156",-0.04073071
"157",-0.03900769
"158",-0.03685391
"159",-0.01617762
"160",0.01368815
"161",0.01088822
"162",-0.01718271
"163",-0.03951022
"164",-0.04511005
"165",-0.03635135
"166",-0.03290531
"167",-0.03197199
"168",-0.008208632
"169",0.03127733
"170",0.04384103
"171",0.0007654428
"172",-0.05329442
"173",-0.05781737
"174",-0.005480498
"175",0.07327601
"176",0.1236745
"177",0.1139107
"178",0.05073312
"179",-0.02170566
"180",-0.0692324
"181",-0.08251405
"182",-0.0721041
"183",-0.04891506
"184",-0.01883394
"185",0.02754411
"186",0.05669191
"187",0.03651819
"188",-0.02242357
"189",-0.09794945
"190",-0.1025442
"191",-0.04245374
"192",0.004642248
"193",0.01677522
"194",0.01921615
"195",0.02517495
"196",0.03903094
"197",0.05360487
"198",0.05590221
"199",0.0246006
"200",-0.04029995
"201",-0.0945034
"202",-0.1062056
"203",-0.06406331
"204",0.007370383
"205",0.06889668
"206",0.08045533
"207",0.02948251
"208",-0.03362322
"209",-0.0621967
"210",-0.05264828
"211",-0.005695879
"212",0.06480452
"213",0.1129056
"214",0.1101057
"215",0.07528624
"216",0.06257895
"217",0.06265071
"218",0.03781047
"219",-0.006916374
"220",-0.06499663
"221",-0.106421
"222",-0.125805
"223",-0.1151079
"224",-0.05932501
"225",0.00184235
"226",0.04908189
"227",0.06789157
"228",0.05776885
"229",0.04003605
"230",0.02000591
"231",-0.002106249
"232",-0.03146946
"233",-0.02816698
"234",0.03350291
"235",0.08749101
"236",0.06817874
"237",0.004355073
"238",-0.0349873
"239",-0.04116145
"240",-0.02113131
"241",0.03099015
"242",0.06803516
"243",0.0469999
"244",-0.01804423
"245",-0.07145795
"246",-0.06829908
"247",-0.01682374
"248",0.03400543
"249",0.02969792
"250",-0.02184924
"251",-0.07813469
"252",-0.1153951
"253",-0.1020416
"254",-0.0621967
"255",-0.03793079
"256",-0.01976725
"257",0.0004782677
"258",0.02280578
"259",0.0186418
"260",-0.01969546
"261",-0.04934582
"262",-0.02012622
"263",0.026539
"264",0.03149274
"265",0.01282662
"266",-0.01043421
"267",0.001985937
"268",0.05382022
"269",0.1033572
"270",0.09079346
"271",0.03759506
"272",0.01634446
"273",0.03888735
"274",0.0765067
"275",0.09653684
"276",0.09222928
"277",0.0745683
"278",0.08059892
"279",0.1009162
"280",0.09136781
"281",0.04793325
"282",-0.00117296
"283",-0.04798177
"284",-0.08545753
"285",-0.08143714
"286",-0.02816698
"287",0.03436443
"288",0.06631216
"289",0.06537887
"290",0.04628202
"291",0.0228776
"292",0.01986232
"293",0.04714349
"294",0.05726627
"295",0.02165714
"296",-0.04044354
"297",-0.09077018
"298",-0.0673658
"299",0.001555175
"300",0.1017059
"301",0.1873546
"302",0.1900109
"303",0.1024956
"304",-0.001675487
"305",-0.05602255
"306",-0.04582798
"307",0.01957515
"308",0.08914223
"309",0.1218797
"310",0.08296803
"311",0.004283279
"312",-0.03268993
"313",-0.008136839
"314",0.02840564
"315",0.01957515
"316",-0.02888492
"317",-0.09507775
"318",-0.1558143
"319",-0.1595476
