"","x"
"1",13
"2",14
"3",8
"4",10
"5",16
"6",26
"7",32
"8",27
"9",18
"10",32
"11",36
"12",24
"13",22
"14",23
"15",22
"16",18
"17",25
"18",21
"19",21
"20",14
"21",8
"22",11
"23",14
"24",23
"25",18
"26",17
"27",19
"28",20
"29",22
"30",19
"31",13
"32",26
"33",13
"34",14
"35",22
"36",24
"37",21
"38",22
"39",26
"40",21
"41",23
"42",24
"43",27
"44",41
"45",31
"46",27
"47",35
"48",26
"49",28
"50",36
"51",39
"52",21
"53",17
"54",22
"55",17
"56",19
"57",15
"58",34
"59",10
"60",15
"61",22
"62",18
"63",15
"64",20
"65",15
"66",22
"67",19
"68",16
"69",30
"70",27
"71",29
"72",23
"73",20
"74",16
"75",21
"76",21
"77",25
"78",16
"79",18
"80",15
"81",18
"82",14
"83",10
"84",15
"85",8
"86",15
"87",6
"88",11
"89",8
"90",7
"91",18
"92",16
"93",13
"94",12
"95",13
"96",20
"97",15
"98",16
"99",12
"100",18
"101",15
"102",16
"103",13
"104",15
"105",16
"106",11
"107",11
