"","x"
"1",-0.001837432
"2",-0.0005537868
"3",-0.002283871
"4",-0.0003026128
"5",-0.0007212162
"6",-0.001390934
"7",-0.0009444356
"8",-0.004906952
"9",-0.003093123
"10",0.002599478
"11",0.004524887
"12",0.004441202
"13",0.004524887
"14",0.001706541
"15",0.001371682
"16",0.006617785
"17",0.004190028
"18",0.005110919
"19",0.006338716
"20",0.004524887
"21",0.00653404
"22",0.005110919
"23",0.004720271
"24",0.002069294
"25",0.002766907
"26",0.006450355
"27",0.001064718
"28",-0.001223505
"29",-0.004376769
"30",-0.01258081
"31",-0.008674085
"32",-0.002897799
"33",-0.003316343
"34",0.001371682
"35",0.004915595
"36",0.0008972883
"37",-0.002144337
"38",0.002599478
"39",-0.006413817
"40",-0.02279401
"41",-0.02647743
"42",-0.02742621
"43",-0.02262658
"44",-0.009567082
"45",0.0001996756
"46",0.01434743
"47",0.02556521
"48",0.04071754
"49",0.0541119
"50",0.04230815
"51",-0.003595412
"52",-0.08744964
"53",-0.1090201
"54",-0.05837274
"55",-0.02011514
"56",0.05999982
"57",0.07484525
"58",0.04649389
"59",0.04691243
"60",0.03276467
"61",0.02425367
"62",-0.02488685
"63",-0.1180055
"64",-0.1369529
"65",-0.1417805
"66",-0.01065534
"67",0.2138116
"68",0.2604408
"69",0.1057918
"70",-0.07547843
"71",-0.1419758
"72",-0.08410105
"73",-0.02971441
"74",-0.0005537868
"75",0.01390094
"76",-0.05856806
"77",-0.03172356
"78",0.07347792
"79",0.08480728
"80",0.07908678
"81",-0.04735029
"82",-0.1296698
"83",-0.1180892
"84",-0.0479084
"85",0.05285621
"86",0.1395288
"87",0.1713683
"88",0.08112389
"89",0.04417777
"90",-0.1579095
"91",-0.3700984
"92",-0.2008552
"93",-0.03119338
"94",0.1199117
"95",0.2707098
"96",0.1923528
"97",0.03273678
"98",-0.05817741
"99",-0.09300271
"100",-0.1003138
"101",-0.1374552
"102",-0.03599301
"103",0.1068243
"104",0.1604296
"105",0.08977437
"106",-0.09757912
"107",-0.11435
"108",-0.0666326
"109",0.007036328
"110",0.08410966
"111",0.07995188
"112",0.06862247
"113",0.002962232
"114",-0.02432877
"115",-0.06652096
"116",0.0003391504
"117",-0.00563246
"118",-0.07307863
"119",-0.04988965
"120",0.02179801
"121",0.08581185
"122",0.1552114
"123",0.07824963
"124",-0.01347375
"125",-0.07098576
"126",-0.1652206
"127",-0.1421432
"128",0.00181812
"129",0.04881001
"130",0.1343385
"131",0.1956456
"132",0.009408295
"133",-0.04176933
"134",-0.01244128
"135",-0.07681787
"136",-0.09582111
"137",-0.03097013
"138",0.05609316
"139",0.1402264
"140",0.07760787
"141",-0.02642164
"142",-0.006358027
"143",0.08360738
"144",-0.02572399
"145",-0.05309871
"146",-0.01590151
"147",-0.0114646
"148",0.004971385
"149",0.08070529
"150",0.1073266
"151",0.0923416
"152",-0.02982602
"153",-0.1535285
"154",-0.1303395
"155",-0.02416134
"156",0.09529954
"157",0.1354268
"158",0.1249624
"159",0.04035479
"160",-0.1184799
"161",-0.1362832
"162",-0.06306076
"163",0.0692364
"164",0.1074382
"165",0.01710999
"166",-0.06353515
"167",-0.100537
"168",-0.03680226
"169",0.02168643
"170",0.1288971
"171",0.1382731
"172",0.00954777
"173",-0.108769
"174",-0.1161638
"175",-0.09503978
"176",-0.03942531
"177",0.04356384
"178",0.09638786
"179",0.1145818
"180",0.0105803
"181",-0.0889844
"182",-0.07826892
"183",-0.04383427
"184",0.06987816
"185",0.08324462
"186",0.04649389
"187",-0.07444596
"188",-0.09132841
"189",-0.07042766
"190",-0.05655891
"191",0.09337413
"192",0.09529954
"193",0.04735893
"194",-0.0005537868
"195",-0.07522729
"196",-0.09704894
"197",-0.0586797
"198",-0.01989186
"199",-0.0001072884
"200",0.0809285
"201",0.07819384
"202",0.01674724
"203",0.04936808
"204",-0.05164766
"205",-0.09933713
"206",-0.05371261
"207",-0.03286767
"208",-0.02056158
"209",0.06312519
"210",0.03678298
"211",-0.008897364
"212",-0.00102818
"213",-0.03755569
"214",-0.01640379
"215",0.03672719
"216",-0.02522171
"217",0.004748166
"218",0.04903322
"219",-0.0118832
"220",-0.02949116
"221",-0.0154829
"222",-0.05789834
"223",-0.04785258
"224",-0.0007491112
"225",0.02436531
"226",0.05927432
"227",0.02863473
"228",-0.0285145
"229",-0.03504425
"230",-0.05404747
"231",-0.02806801
"232",0.01203132
"233",0.006896853
"234",-0.002367616
"235",-0.0006654263
"236",-0.04779679
"237",-0.01779902
"238",0.04261512
"239",0.04805654
"240",0.03831774
"241",-0.001418829
"242",-0.06984165
"243",-0.07271585
"244",-0.03496054
"245",0.01147324
"246",0.06513435
"247",0.06934798
"248",0.04339641
"249",0.02470016
"250",-0.01330632
"251",-0.05019659
"252",-0.04093218
"253",-0.004516304
"254",0.002292514
"255",0.0346064
"256",0.05402821
"257",0.01786345
"258",0.003129661
"259",-0.01165992
"260",-0.002367616
"261",0.001790226
"262",0.001176298
"263",0.03530401
"264",0.003659844
"265",-0.01294357
"266",-0.002060652
"267",-0.01068324
"268",-0.01936167
"269",0.0003391504
"270",0.03396457
"271",0.02430946
"272",0.01127791
"273",-0.004767418
"274",-0.008199751
"275",-0.002144337
"276",-0.02391019
"277",-0.0232963
