"","x"
"1",30
"2",30
"3",28.5
"4",34.5
"5",34
"6",32
"7",30.5
"8",31
"9",33
"10",34
"11",31.5
"12",27.5
"13",30
"14",31.5
"15",33
"16",32
"17",33
"18",33
"19",33
"20",33
"21",36.5
"22",32.5
"23",31.5
"24",31.5
"25",29.5
"26",22.5
"27",28
"28",31
"29",30.5
"30",31.5
"31",31
"32",31
"33",31.5
"34",31
"35",31.5
"36",32
"37",0
"38",30
"39",30
"40",0
"41",28.5
"42",0
"43",27
"44",0
"45",0
"46",28.5
"47",0
"48",27
"49",0
"50",31
"51",0
"52",0
"53",29.5
"54",0
"55",0
"56",0
"57",27
"58",0
"59",0
"60",28.5
"61",0
"62",0
"63",0
"64",35
"65",0
"66",0
"67",34.5
"68",0
"69",0
"70",0
"71",35
"72",0
"73",0
"74",31.5
"75",0
"76",0
"77",0
"78",30
"79",0
"80",0
"81",27.5
"82",0
"83",0
"84",0
"85",35
"86",0
"87",0
"88",33
"89",0
"90",0
"91",0
