"","x"
"1",4.47
"2",4.334
"3",4.093
"4",4.602
"5",4.41
"6",4.322
"7",4.491
"8",4.538
"9",4.474
"10",4.1
"11",4.474
"12",3.919
"13",4.157
"14",4.041
"15",4.127
"16",4.127
"17",4.597
"18",4.157
"19",4.568
"20",4.577
"21",4.76
"22",4.54
"23",4.736
"24",4.854
"25",4.903
"26",4.929
"27",4.884
"28",4.973
"29",4.945
"30",5.211
"31",5.291
"32",5.174
"33",5.183
"34",5.049
"35",5.23
"36",5.303
"37",0
"38",5.218
"39",5.218
"40",0
"41",5.267
"42",0
"43",5.301
"44",0
"45",0
"46",5.376
"47",0
"48",5.243
"49",0
"50",5.134
"51",0
"52",0
"53",5.1
"54",0
"55",0
"56",0
"57",5.161
"58",0
"59",0
"60",5.211
"61",0
"62",0
"63",0
"64",5.085
"65",0
"66",0
"67",5.218
"68",0
"69",0
"70",0
"71",5.338
"72",0
"73",0
"74",5.312
"75",0
"76",0
"77",0
"78",5.279
"79",0
"80",0
"81",5.362
"82",0
"83",0
"84",0
"85",5.258
"86",0
"87",0
"88",5.186
"89",0
"90",0
"91",0
