"","x"
"1",4
"2",4.7
"3",4.5
"4",4
"5",3.4
"6",3.9
"7",3.9
"8",3.6
"9",3.4
"10",2.9
"11",3.3
"12",3.6
"13",5
"14",5.8
"15",5.6
"16",5.4
"17",5.7
"18",6.4
"19",7
"20",6.3
"21",5.9
"22",6.1
"23",5.7
"24",6
"25",7.6
"26",7.9
"27",7.1
"28",6
"29",5.3
"30",5.6
"31",5.3
"32",4.1
"33",4
"34",3.3
"35",3.8
"36",3.9
"37",4.4
"38",4.2
"39",3.8
"40",3.2
"41",2.9
"42",3.4
"43",3.3
"44",2.9
"45",3
"46",2.8
"47",3.2
"48",2.9
"49",3.7
"50",3.8
"51",3.3
"52",3
"53",2.9
"54",3.2
"55",3.3
"56",3.1
"57",2.7
"58",2.4
"59",2.5
"60",2.5
"61",3.4
"62",3.2
"63",2.9
"64",2.8
"65",2.5
"66",2.7
"67",2.7
"68",2.4
"69",2.6
"70",2.5
"71",3.2
"72",4.2
"73",5.7
"74",6.3
"75",6.4
"76",6.1
"77",5.7
"78",5.7
"79",5.7
"80",5.4
"81",5.3
"82",4.6
"83",4.9
"84",4.8
"85",5.8
"86",5.7
"87",5.2
"88",4.9
"89",4.2
"90",4.4
"91",4
"92",3.8
"93",3.5
"94",3.4
"95",3.8
"96",3.9
"97",4.7
"98",4.8
"99",4.7
"100",4.1
"101",4.2
"102",4.7
"103",4.4
"104",3.7
"105",3.4
"106",3.1
"107",3.9
"108",4
"109",4.9
"110",4.7
"111",4.3
"112",4
"113",3.9
"114",4.6
"115",4.1
"116",3.7
"117",3.7
"118",3.6
"119",4.6
"120",5
"121",6.8
"122",7.7
"123",7.7
"124",7.5
"125",7.1
"126",7.6
"127",7.4
"128",6.7
"129",6
"130",5.5
"131",5.6
"132",6
"133",7
"134",7
"135",6.4
"136",5.2
"137",4.9
"138",5.4
"139",5.2
"140",4.8
"141",4.7
"142",4.7
"143",5.3
"144",5.1
"145",6.1
"146",5.7
"147",6.1
"148",5.2
"149",4.8
"150",5.8
"151",5.5
"152",5.2
"153",4.7
"154",5
"155",5.6
"156",6.4
"157",7.7
"158",8.1
"159",7.7
"160",7
"161",6.6
"162",7.3
"163",6.9
"164",6.2
"165",5.8
"166",5.5
"167",5.6
"168",5.8
"169",6.7
"170",6.5
"171",6.2
"172",5.5
"173",5.1
"174",5.9
"175",5.3
"176",5.3
"177",4.9
"178",4.5
"179",5.3
"180",5.3
"181",6.6
"182",6.9
"183",6.3
"184",5.6
"185",5.5
"186",6.2
"187",5.6
"188",5.2
"189",4.8
"190",4.7
"191",5.3
"192",5.3
"193",6.4
"194",6.2
"195",5.9
"196",5.3
"197",4.8
"198",5.9
"199",4.9
"200",4.8
"201",4.5
"202",4.4
"203",4.5
"204",4.7
"205",5.5
"206",5.7
"207",5.1
"208",4.7
"209",4.3
"210",5.3
"211",4.5
"212",4.2
"213",3.8
"214",3.6
"215",3.9
"216",3.7
"217",4.4
"218",4.2
"219",4
"220",3.6
"221",3.7
"222",4.6
"223",3.9
"224",3.6
"225",3.3
"226",3.2
"227",3.4
"228",3.5
"229",4.2
"230",4.2
"231",3.9
"232",3.5
"233",3.2
"234",4.6
"235",4.1
"236",3.7
"237",3.7
"238",3.8
"239",3.7
"240",3.5
"241",4
"242",4.2
"243",3.8
"244",3.2
"245",2.9
"246",4.5
"247",4
"248",3.5
"249",3.3
"250",3.2
"251",3.3
"252",3.1
"253",3.7
"254",3.7
"255",3.5
"256",3.2
"257",2.9
"258",4.1
"259",3.8
"260",3.5
"261",3.7
"262",3.5
"263",3.3
"264",3.2
"265",4.2
"266",4.7
"267",4.6
"268",4.3
"269",4.1
"270",5.6
"271",5.3
"272",5
"273",5.2
"274",5.1
"275",5.5
"276",5.6
"277",6.6
"278",6.6
"279",6.3
"280",5.7
"281",5.3
"282",6.5
"283",6.2
"284",5.9
"285",5.8
"286",5.4
"287",5.7
"288",5.5
"289",6.5
"290",6.4
"291",6.1
"292",5.5
"293",5.1
"294",6.2
"295",5.9
"296",5.5
"297",5.4
"298",5.1
"299",4.9
"300",4.8
"301",5.5
"302",5.6
"303",5.2
"304",4.8
"305",4.4
"306",5.4
"307",5
"308",4.7
"309",4.7
"310",4.2
"311",4.6
"312",4.6
"313",5.7
"314",5.8
"315",5.3
"316",4.8
"317",4.6
"318",5.8
"319",5.7
"320",5.3
"321",5.7
"322",5.5
"323",6.2
"324",6.7
"325",9
"326",9.1
"327",9.1
"328",8.6
"329",8.3
"330",9.1
"331",8.7
"332",8.2
"333",8.1
"334",7.8
"335",7.8
"336",7.8
"337",8.8
"338",8.7
"339",8.1
"340",7.4
"341",6.8
"342",8
"343",7.8
"344",7.6
"345",7.4
"346",7.2
"347",7.4
"348",7.4
"349",8.3
"350",8.5
"351",7.9
"352",6.9
"353",6.4
"354",7.5
"355",7
"356",6.8
"357",6.6
"358",6.4
"359",6.5
"360",6
"361",7.1
"362",6.9
"363",6.6
"364",5.8
"365",5.5
"366",6.2
"367",6.3
"368",5.9
"369",5.8
"370",5.4
"371",5.6
"372",5.7
"373",6.4
"374",6.4
"375",6.1
"376",5.5
"377",5.2
"378",6
"379",5.9
"380",5.9
"381",5.7
"382",5.6
"383",5.6
"384",5.7
"385",6.9
"386",6.8
"387",6.6
"388",6.7
"389",7.1
"390",7.8
"391",7.9
"392",7.6
"393",7.2
"394",7.1
"395",7.1
"396",6.9
"397",8.2
"398",8
"399",7.7
"400",7
"401",7.1
"402",7.7
"403",7.3
"404",7.2
"405",7.3
"406",7.5
"407",7.9
"408",8.3
"409",9.4
"410",9.6
"411",9.5
"412",9.2
"413",9.1
"414",9.8
"415",9.8
"416",9.6
"417",9.7
"418",9.9
"419",10.4
"420",10.5
"421",11.4
"422",11.3
"423",10.8
"424",10
"425",9.8
"426",10.2
"427",9.4
"428",9.2
"429",8.8
"430",8.4
"431",8.1
"432",8
"433",8.8
"434",8.4
"435",8.1
"436",7.6
"437",7.2
"438",7.4
"439",7.5
"440",7.3
"441",7.1
"442",7
"443",6.9
"444",7
"445",8
"446",7.8
"447",7.5
"448",7.1
"449",7
"450",7.5
"451",7.4
"452",6.9
"453",6.9
"454",6.8
"455",6.7
"456",6.7
"457",7.3
"458",7.8
"459",7.5
"460",7
"461",7
"462",7.3
"463",7
"464",6.7
"465",6.8
"466",6.6
"467",6.6
"468",6.3
"469",7.3
"470",7.2
"471",6.9
"472",6.2
"473",6.1
"474",6.3
"475",6.1
"476",5.8
"477",5.7
"478",5.7
"479",5.6
"480",5.4
"481",6.3
"482",6.2
"483",5.9
"484",5.3
"485",5.4
"486",5.5
"487",5.5
"488",5.4
"489",5.2
"490",5
"491",5.2
"492",5
"493",6
"494",5.6
"495",5.2
"496",5.1
"497",5
"498",5.5
"499",5.3
"500",5.1
"501",5.1
"502",5
"503",5.2
"504",5.1
"505",6
"506",5.9
"507",5.5
"508",5.3
"509",5.2
"510",5.4
"511",5.6
"512",5.5
"513",5.6
"514",5.5
"515",5.9
"516",6
"517",7.1
"518",7.3
"519",7.2
"520",6.5
"521",6.7
"522",7
"523",6.8
"524",6.6
"525",6.5
"526",6.5
"527",6.7
"528",6.9
"529",8.1
"530",8.2
"531",7.8
"532",7.2
"533",7.3
"534",8
"535",7.7
"536",7.4
"537",7.3
"538",6.9
"539",7.1
"540",7.1
"541",8
"542",7.8
"543",7.4
"544",6.9
"545",6.8
"546",7.2
"547",7
"548",6.6
"549",6.4
"550",6.4
"551",6.2
"552",6.1
"553",7.3
"554",7.1
"555",6.8
"556",6.2
"557",5.9
"558",6.2
"559",6.2
"560",5.9
"561",5.6
"562",5.4
"563",5.3
"564",5.1
"565",6.2
"566",5.9
"567",5.7
"568",5.6
"569",5.5
"570",5.8
"571",5.9
"572",5.6
"573",5.4
"574",5.2
"575",5.3
"576",5.2
"577",6.3
"578",6
"579",5.8
"580",5.4
"581",5.4
"582",5.5
"583",5.6
"584",5.1
"585",5
"586",4.9
"587",5
"588",5
"589",5.9
"590",5.7
"591",5.5
"592",4.8
"593",4.7
"594",5.2
"595",5
"596",4.8
"597",4.7
"598",4.4
"599",4.3
"600",4.4
"601",5.2
"602",5
"603",5
"604",4.1
"605",4.2
"606",4.7
"607",4.7
"608",4.5
"609",4.4
"610",4.2
"611",4.1
"612",4
"613",4.8
"614",4.7
"615",4.4
"616",4.1
"617",4
"618",4.5
"619",4.5
"620",4.2
"621",4.1
"622",3.8
"623",3.8
"624",3.7
"625",4.5
"626",4.4
"627",4.3
"628",3.7
"629",3.8
"630",4.1
"631",4.2
"632",4.1
"633",3.8
"634",3.6
"635",3.7
"636",3.7
"637",4.7
"638",4.6
"639",4.5
"640",4.2
"641",4.1
"642",4.7
"643",4.7
"644",4.9
"645",4.7
"646",5
"647",5.3
"648",5.4
"649",6.3
"650",6.1
"651",6.1
"652",5.7
"653",5.5
"654",6
"655",5.9
"656",5.7
"657",5.4
"658",5.3
"659",5.6
"660",5.7
"661",6.5
"662",6.4
"663",6.2
"664",5.8
"665",5.8
"666",6.5
"667",6.3
"668",6
"669",5.8
"670",5.6
"671",5.6
"672",5.4
"673",6.3
"674",6
"675",6
"676",5.4
"677",5.3
"678",5.8
"679",5.7
"680",5.4
"681",5.1
"682",5.1
"683",5.2
"684",5.1
"685",5.7
"686",5.8
"687",5.4
"688",4.9
"689",4.9
"690",5.2
"691",5.2
"692",4.9
"693",4.8
"694",4.6
"695",4.8
"696",4.6
"697",5.1
"698",5.1
"699",4.8
"700",4.5
"701",4.4
"702",4.8
"703",5
"704",4.6
"705",4.4
"706",4.1
"707",4.3
"708",4.3
"709",5
"710",4.9
"711",4.5
"712",4.3
"713",4.3
"714",4.7
"715",4.9
"716",4.6
"717",4.5
"718",4.4
"719",4.5
"720",4.8
"721",5.4
"722",5.2
"723",5.2
"724",4.8
"725",5.2
"726",5.7
"727",6
"728",6.1
"729",6
"730",6.1
"731",6.5
"732",7.1
"733",8.5
"734",8.9
"735",9
"736",8.6
"737",9.1
"738",9.7
"739",9.7
"740",9.6
"741",9.5
"742",9.5
"743",9.4
"744",9.7
"745",10.6
"746",10.4
"747",10.2
"748",9.5
"749",9.3
"750",9.6
"751",9.7
"752",9.5
"753",9.2
"754",9
"755",9.3
"756",9.1
"757",9.8
"758",9.5
"759",9.2
"760",8.7
"761",8.7
"762",9.3
"763",9.3
"764",9.1
"765",8.8
"766",8.5
"767",8.2
"768",8.3
"769",8.8
"770",8.7
"771",8.4
"772",7.7
"773",7.9
"774",8.4
"775",8.6
"776",8.2
"777",7.6
"778",7.5
"779",7.4
"780",7.6
"781",8.5
"782",8.1
"783",7.6
"784",7.1
"785",7.3
"786",7.8
"787",7.7
"788",7.3
"789",7
"790",7
"791",6.6
"792",6.5
"793",7
"794",7
"795",6.8
"796",5.9
"797",6.1
"798",6.3
"799",6.5
"800",6.3
"801",5.7
"802",5.5
"803",5.5
"804",5.4
"805",6.1
"806",5.8
"807",5.6
"808",5.1
"809",5.3
"810",5.5
"811",5.6
"812",5.2
"813",4.9
"814",4.8
"815",4.8
"816",4.8
"817",5.3
"818",5.2
"819",5.1
"820",4.7
"821",4.5
"822",5.1
"823",5.1
"824",5
"825",4.8
"826",4.7
"827",4.4
