"","x"
"1",2.332
"2",1.887
"3",2.079
"4",1.82
"5",1.82
"6",1.529
"7",1.644
"8",1.699
"9",2
"10",2.415
"11",2.602
"12",2.716
"13",2.799
"14",2.986
"15",2.881
"16",2.672
"17",3.13
"18",3.025
"19",3.111
"20",3.079
"21",3.116
"22",3.19
"23",3.176
"24",3.255
"25",3.491
"26",3.407
"27",3.297
"28",3.477
"29",3.568
"30",3.481
"31",3.653
"32",3.568
"33",3.562
"34",3.826
"35",3.851
"36",3.909
"37",0
"38",3.903
"39",3.903
"40",0
"41",4.025
"42",0
"43",4.053
"44",0
"45",0
"46",3.961
"47",0
"48",3.803
"49",0
"50",3.556
"51",0
"52",0
"53",3.484
"54",0
"55",0
"56",0
"57",3.25
"58",0
"59",0
"60",3.176
"61",0
"62",0
"63",0
"64",3.362
"65",0
"66",0
"67",3.532
"68",0
"69",0
"70",0
"71",3.672
"72",0
"73",0
"74",3.857
"75",0
"76",0
"77",0
"78",3.653
"79",0
"80",0
"81",3.568
"82",0
"83",0
"84",0
"85",3.74
"86",0
"87",0
"88",3.58
"89",0
"90",0
"91",0
