"","x"
"1",1.008
"2",NA
"3",1.049
"4",1.751
"5",2.25
"6",0.758
"7",NA
"8",1.95
"9",0.336
"10",-1.429
"11",-0.02
"12",-1.035
"13",-2.806
"14",NA
"15",-0.42
"16",0.148
"17",-0.046
"18",-1.701
"19",-1.924
"20",-2.604
"21",-2.388
"22",-4.031
"23",-3.076
"24",-1.23
"25",-1.177
"26",-0.257
"27",-0.107
"28",1.189
"29",1.15
"30",1.658
"31",2.828
"32",3.174
"33",1.683
"34",0.371
"35",0.213
"36",1.265
"37",1.227
"38",1.66
"39",0.363
"40",-0.6
"41",NA
"42",-1.214
"43",NA
"44",1.291
"45",0.12
"46",NA
"47",-0.07
"48",-0.284
"49",NA
"50",-2.831
"51",-2.916
"52",-2.97
"53",-3.119
"54",NA
"55",-1.734
"56",-1.99
"57",-2.75
"58",-3.835
"59",-1.841
"60",-2.746
"61",-2.277
"62",NA
"63",-0.555
"64",-0.579
"65",-2.012
"66",-1.639
"67",NA
"68",-2.246
"69",1.738
"70",1.298
"71",-0.85
"72",0.389
"73",2.699
"74",1.734
"75",2.723
"76",2.469
"77",2.96
"78",2.145
"79",1.45
"80",NA
"81",0.669
"82",1.808
"83",0.931
"84",0.141
"85",1.143
"86",NA
"87",2.004
"88",-0.591
"89",NA
"90",-0.598
"91",0.376
"92",-0.89
"93",-1.778
"94",NA
"95",-0.513
"96",-1.478
"97",NA
"98",0.587
"99",-0.478
"100",-1.309
