"","x"
"1",295
"2",286
"3",300
"4",278
"5",272
"6",268
"7",308
"8",321
"9",313
"10",308
"11",291
"12",296
"13",294
"14",273
"15",300
"16",271
"17",282
"18",285
"19",318
"20",323
"21",313
"22",311
"23",291
"24",293
"25",297
"26",273
"27",294
"28",259
"29",276
"30",294
"31",316
"32",325
"33",315
"34",312
"35",292
"36",301
"37",304
"38",282
"39",313
"40",296
"41",313
"42",307
"43",328
"44",334
"45",329
"46",329
"47",304
"48",312
"49",312
"50",300
"51",317
"52",292
"53",300
"54",311
"55",345
"56",350
"57",344
"58",336
"59",315
"60",323
"61",322
"62",296
"63",315
"64",287
"65",307
"66",321
"67",354
"68",356
"69",348
"70",334
"71",320
"72",340
"73",332
"74",302
"75",324
"76",305
"77",318
"78",329
"79",359
"80",363
"81",359
"82",352
"83",335
"84",342
"85",329
"86",306
"87",332
"88",309
"89",326
"90",325
"91",354
"92",367
"93",362
"94",354
"95",337
"96",345
"97",339
"98",325
"99",345
"100",309
"101",315
"102",334
"103",370
"104",383
"105",375
"106",370
"107",344
"108",355
"109",346
"110",317
"111",348
"112",331
"113",345
"114",348
"115",380
"116",381
"117",377
"118",376
"119",348
"120",356
"121",344
"122",320
"123",347
"124",326
"125",343
"126",338
"127",361
"128",368
"129",378
"130",374
"131",347
"132",358
"133",349
"134",323
"135",358
"136",331
"137",338
"138",343
"139",374
"140",380
"141",377
"142",368
"143",346
"144",358
"145",338
"146",329
"147",347
"148",327
"149",335
"150",336
"151",370
"152",399
"153",385
"154",368
"155",351
"156",362
"157",358
"158",333
"159",356
"160",335
"161",348
"162",346
"163",374
"164",386
"165",384
"166",372
"167",343
"168",346
"169",346
"170",318
"171",359
"172",328
"173",333
"174",329
"175",366
"176",373
"177",367
"178",363
"179",337
"180",346
"181",355
"182",314
"183",343
"184",322
"185",336
"186",327
"187",362
"188",366
"189",361
"190",358
"191",327
"192",330
"193",336
"194",326
"195",337
"196",316
"197",331
"198",331
"199",359
"200",350
"201",356
"202",347
"203",328
"204",336
"205",315
"206",292
"207",322
"208",291
"209",302
"210",310
"211",330
"212",335
"213",333
"214",318
"215",305
"216",313
"217",301
"218",281
"219",302
"220",291
"221",297
"222",291
"223",311
"224",319
"225",317
"226",317
"227",296
"228",307
"229",295
"230",265
"231",300
"232",271
"233",291
"234",290
"235",310
"236",318
"237",310
"238",304
"239",285
"240",288
"241",277
"242",260
"243",282
"244",274
"245",288
"246",287
"247",308
"248",312
"249",306
"250",304
"251",282
"252",305
"253",284
"254",273
"255",286
"256",284
"257",294
"258",288
"259",315
"260",322
"261",317
"262",309
"263",295
"264",306
"265",300
"266",275
"267",301
"268",292
"269",298
"270",306
"271",326
"272",332
"273",329
"274",328
"275",308
"276",324
"277",299
"278",284
"279",306
"280",290
"281",292
"282",285
"283",295
"284",306
"285",317
"286",305
"287",294
"288",287
"289",278
"290",261
"291",275
"292",256
"293",270
"294",264
"295",265
"296",284
"297",284
"298",275
"299",269
"300",275
"301",259
"302",244
"303",267
"304",255
"305",260
"306",253
"307",267
"308",277
"309",277
"310",264
"311",255
"312",260
"313",261
"314",238
"315",257
"316",246
"317",254
"318",255
"319",273
"320",276
"321",286
"322",283
"323",261
"324",276
"325",264
"326",243
"327",259
"328",250
"329",262
"330",253
"331",280
"332",288
"333",270
"334",273
"335",241
"336",266
"337",257
"338",242
"339",266
"340",241
"341",252
"342",250
"343",281
"344",278
"345",286
"346",278
"347",260
"348",272
"349",274
"350",256
"351",276
"352",259
"353",273
"354",272
"355",297
"356",296
"357",290
"358",282
"359",262
"360",275
"361",262
"362",251
"363",285
"364",260
"365",272
"366",265
"367",296
"368",312
"369",289
"370",282
"371",274
"372",281
"373",277
