"","x"
"1",1
"2",4
"3",3
"4",2
"5",4
"6",4
"7",3
"8",4
"9",4
"10",4
"11",4
"12",1
"13",2
"14",1
"15",2
"16",4
"17",4
"18",2
"19",1
"20",1
"21",4
"22",4
"23",4
"24",3
"25",4
"26",1
"27",4
"28",3
"29",1
"30",1
"31",3
"32",2
"33",4
"34",2
"35",1
"36",3
"37",1
"38",4
"39",4
"40",2
"41",4
"42",4
"43",2
"44",2
"45",1
"46",2
"47",1
"48",4
"49",3
"50",1
"51",1
"52",1
"53",3
"54",1
"55",4
"56",4
"57",1
"58",3
"59",2
"60",1
"61",1
"62",2
"63",4
"64",4
"65",2
"66",1
"67",3
"68",4
"69",4
"70",4
"71",4
"72",4
"73",4
"74",4
"75",1
"76",3
"77",1
"78",1
"79",2
"80",1
"81",4
"82",3
"83",3
"84",2
"85",2
"86",2
"87",2
"88",2
"89",4
"90",4
"91",2
"92",1
"93",1
"94",3
"95",4
"96",2
"97",1
"98",2
"99",4
"100",4
"101",2
"102",2
"103",4
"104",4
"105",2
"106",1
"107",1
"108",4
"109",2
"110",2
"111",1
"112",1
"113",2
"114",2
"115",1
"116",2
"117",3
"118",1
"119",2
"120",4
"121",1
"122",2
"123",2
"124",3
"125",3
"126",1
"127",4
"128",1
"129",4
"130",3
"131",4
"132",3
"133",3
"134",4
"135",4
"136",4
"137",1
"138",2
"139",3
"140",4
"141",1
"142",1
"143",1
"144",4
"145",4
"146",2
"147",4
"148",2
"149",2
"150",1
"151",1
"152",1
"153",4
"154",3
"155",2
"156",3
"157",4
"158",2
"159",1
"160",4
"161",4
"162",4
"163",2
"164",4
"165",4
"166",3
"167",1
"168",3
"169",2
"170",2
"171",4
"172",3
"173",4
"174",4
"175",2
"176",4
"177",4
"178",1
"179",3
"180",4
"181",1
"182",1
"183",1
"184",2
"185",4
"186",3
"187",4
"188",4
"189",4
"190",2
"191",1
"192",3
"193",1
"194",3
"195",4
"196",3
"197",4
"198",4
"199",4
"200",2
"201",1
"202",2
"203",2
"204",4
"205",1
"206",1
"207",3
"208",2
"209",4
"210",1
"211",2
"212",2
"213",4
"214",4
"215",4
"216",4
"217",4
"218",4
"219",4
"220",1
"221",1
"222",3
"223",4
"224",4
"225",4
"226",4
"227",2
"228",4
"229",3
"230",1
"231",1
"232",2
"233",1
"234",1
"235",1
"236",2
"237",4
"238",4
"239",4
"240",3
"241",4
"242",2
"243",1
"244",4
"245",4
"246",4
"247",4
"248",2
"249",4
"250",4
"251",1
"252",4
"253",3
"254",3
"255",4
"256",2
"257",2
"258",4
"259",2
"260",1
"261",4
"262",2
"263",4
"264",4
"265",2
"266",1
"267",1
"268",3
"269",3
"270",4
"271",4
"272",2
"273",1
"274",2
"275",1
"276",3
"277",1
"278",2
"279",1
"280",1
"281",2
"282",1
"283",4
"284",4
"285",4
"286",4
"287",2
"288",1
"289",1
"290",1
"291",1
"292",3
"293",1
"294",4
"295",2
"296",4
"297",1
"298",3
"299",4
"300",1
"301",3
"302",1
"303",4
"304",3
"305",4
"306",1
"307",3
"308",4
"309",4
"310",1
"311",1
"312",3
"313",1
"314",1
"315",2
"316",4
"317",4
"318",3
"319",4
"320",2
"321",4
"322",1
"323",4
"324",3
"325",4
"326",4
"327",4
"328",1
"329",2
"330",2
"331",2
"332",2
"333",1
"334",2
"335",1
"336",1
"337",3
"338",3
"339",4
"340",2
"341",2
"342",4
"343",3
"344",1
"345",1
"346",1
"347",1
"348",4
"349",3
"350",2
"351",1
"352",4
"353",4
"354",4
"355",1
"356",2
"357",1
"358",3
"359",4
"360",4
"361",3
"362",1
"363",1
"364",1
"365",3
"366",1
"367",1
"368",4
"369",4
"370",3
"371",1
"372",1
"373",4
"374",1
"375",4
"376",4
"377",1
"378",2
"379",1
"380",3
"381",3
"382",1
"383",2
"384",2
"385",1
"386",4
"387",1
"388",2
"389",1
"390",2
"391",1
"392",4
"393",1
"394",1
"395",4
"396",4
"397",4
"398",3
"399",4
"400",3
"401",1
"402",2
"403",2
"404",4
"405",4
"406",1
"407",1
"408",3
"409",3
"410",1
"411",2
"412",2
"413",2
"414",2
"415",1
"416",1
"417",1
"418",1
"419",1
"420",1
"421",1
"422",3
"423",3
"424",2
"425",1
"426",2
"427",1
"428",4
"429",4
"430",2
"431",3
"432",1
"433",2
"434",1
"435",4
"436",2
"437",4
"438",4
"439",2
"440",1
"441",1
"442",1
"443",1
"444",1
"445",1
"446",4
"447",3
"448",2
"449",4
"450",1
"451",4
"452",3
"453",2
"454",1
"455",1
"456",4
"457",2
"458",2
"459",4
"460",4
"461",1
"462",4
"463",1
"464",2
"465",4
"466",3
"467",3
"468",4
"469",4
"470",4
"471",3
"472",1
"473",2
"474",1
"475",1
"476",1
"477",4
"478",4
"479",4
"480",4
"481",3
"482",4
"483",4
"484",1
"485",4
"486",4
"487",2
"488",2
"489",1
"490",2
"491",1
"492",1
"493",3
"494",1
"495",4
"496",1
"497",1
"498",1
"499",1
"500",3
"501",1
"502",2
"503",4
"504",1
"505",3
"506",1
"507",1
"508",1
"509",4
"510",3
"511",3
"512",1
"513",2
"514",3
"515",4
"516",3
"517",2
"518",4
"519",1
"520",3
"521",1
"522",4
"523",3
"524",2
"525",1
"526",3
"527",1
"528",3
"529",4
"530",2
"531",4
"532",3
"533",2
"534",1
"535",3
"536",4
"537",1
"538",4
"539",2
"540",3
"541",3
"542",2
"543",2
"544",2
"545",2
"546",1
"547",2
"548",4
"549",4
"550",4
"551",2
"552",4
"553",3
"554",1
"555",2
"556",2
"557",2
"558",4
"559",4
"560",4
"561",3
"562",4
"563",3
"564",3
"565",1
"566",2
"567",4
"568",1
"569",4
"570",3
"571",4
"572",2
"573",4
"574",1
"575",1
"576",4
"577",3
"578",3
"579",1
"580",2
"581",4
"582",3
"583",4
"584",4
"585",4
"586",1
"587",1
"588",2
"589",4
"590",4
"591",1
"592",2
"593",4
"594",4
"595",3
"596",3
"597",4
"598",4
"599",1
"600",4
"601",4
"602",2
"603",4
"604",1
"605",3
"606",2
"607",2
"608",1
"609",1
"610",4
"611",1
"612",4
"613",1
"614",3
"615",4
"616",3
"617",4
"618",1
"619",4
"620",4
"621",2
"622",1
"623",1
"624",1
"625",2
"626",3
"627",4
"628",3
"629",3
"630",4
"631",3
"632",2
"633",4
"634",3
"635",2
"636",4
"637",2
"638",2
"639",1
"640",1
"641",1
"642",1
"643",3
"644",4
"645",1
"646",4
"647",4
"648",4
"649",3
"650",4
"651",1
"652",3
"653",1
"654",1
"655",1
"656",1
"657",3
"658",1
"659",1
"660",2
"661",4
"662",2
"663",2
"664",1
"665",3
"666",3
"667",2
"668",4
"669",4
"670",3
"671",2
"672",2
"673",1
"674",4
"675",4
"676",4
"677",2
"678",4
"679",1
"680",4
"681",3
"682",1
"683",1
"684",4
"685",1
"686",4
"687",1
"688",3
"689",1
"690",4
"691",4
"692",1
"693",4
"694",4
"695",3
"696",3
"697",1
"698",1
"699",2
"700",2
"701",2
"702",4
"703",4
"704",3
"705",3
"706",4
"707",2
"708",1
"709",1
"710",3
"711",4
"712",1
"713",2
"714",4
"715",1
"716",1
"717",2
"718",1
"719",4
"720",3
"721",2
"722",4
"723",4
"724",4
"725",1
"726",4
"727",3
"728",1
"729",4
"730",3
"731",3
"732",3
"733",2
"734",4
"735",1
"736",2
"737",1
"738",4
"739",3
"740",2
"741",4
"742",1
"743",4
"744",4
"745",3
"746",1
"747",1
"748",1
"749",1
"750",1
"751",3
"752",3
"753",1
"754",4
"755",4
"756",1
"757",1
"758",4
"759",1
"760",4
"761",1
"762",2
"763",4
"764",2
"765",1
"766",4
"767",4
"768",4
"769",3
"770",3
"771",4
"772",1
"773",3
"774",4
"775",4
"776",4
"777",4
"778",1
"779",2
"780",1
"781",2
"782",2
"783",1
"784",1
"785",2
"786",2
"787",2
"788",2
"789",1
"790",1
"791",3
"792",2
"793",4
"794",4
"795",3
"796",1
"797",2
"798",1
"799",1
"800",3
"801",4
"802",3
"803",4
"804",1
"805",4
"806",4
"807",2
"808",1
"809",1
"810",2
"811",1
"812",4
"813",3
"814",3
"815",2
"816",1
"817",2
"818",1
"819",1
"820",2
"821",1
"822",4
"823",4
"824",3
"825",3
"826",4
"827",1
"828",4
"829",3
"830",4
"831",1
"832",2
"833",2
"834",1
"835",1
"836",4
"837",3
"838",4
"839",4
"840",4
"841",1
"842",3
"843",4
"844",3
"845",2
"846",4
"847",4
"848",3
"849",4
"850",2
"851",1
"852",1
"853",1
"854",4
"855",4
"856",3
"857",3
"858",1
"859",2
"860",1
"861",4
"862",3
"863",4
"864",1
"865",1
"866",4
"867",3
"868",2
"869",1
"870",1
"871",2
"872",4
"873",3
"874",2
"875",2
"876",4
"877",2
"878",4
"879",4
"880",2
"881",1
"882",1
"883",1
"884",2
"885",3
"886",2
"887",1
"888",4
"889",3
"890",1
"891",3
"892",4
"893",4
"894",3
"895",4
"896",2
"897",1
"898",4
"899",4
"900",3
"901",1
"902",2
"903",1
"904",3
"905",3
"906",3
"907",4
"908",2
"909",4
"910",2
"911",4
"912",4
"913",2
"914",2
"915",4
"916",1
"917",4
"918",3
"919",1
"920",1
"921",3
"922",1
"923",4
"924",3
"925",4
"926",4
"927",3
"928",2
"929",1
"930",1
"931",3
"932",2
"933",1
"934",2
"935",1
"936",4
"937",2
"938",4
"939",3
"940",1
"941",1
"942",2
"943",4
"944",4
"945",1
"946",2
"947",4
"948",4
"949",1
"950",1
"951",3
"952",4
"953",3
"954",4
"955",4
"956",2
"957",4
"958",4
"959",2
"960",3
"961",1
"962",4
"963",3
"964",2
"965",2
"966",1
"967",2
"968",1
"969",4
"970",1
"971",4
"972",4
"973",2
"974",1
"975",1
"976",3
"977",3
"978",1
"979",4
"980",4
"981",4
"982",4
"983",4
"984",4
"985",1
"986",3
"987",1
"988",2
"989",4
"990",4
"991",3
"992",4
"993",3
"994",2
"995",2
"996",4
"997",1
"998",1
"999",1
"1000",3
"1001",1
"1002",2
"1003",4
"1004",4
"1005",1
"1006",4
"1007",2
"1008",4
"1009",2
"1010",1
"1011",4
"1012",1
"1013",4
"1014",1
"1015",2
"1016",4
"1017",1
"1018",2
"1019",2
"1020",4
"1021",2
"1022",1
"1023",1
"1024",1
"1025",2
"1026",1
"1027",1
"1028",1
"1029",1
"1030",1
"1031",4
"1032",1
"1033",4
"1034",1
"1035",4
"1036",1
"1037",1
"1038",4
"1039",3
"1040",3
"1041",1
"1042",4
"1043",4
"1044",4
"1045",1
"1046",4
"1047",4
"1048",4
"1049",2
"1050",4
"1051",1
"1052",2
"1053",1
"1054",4
"1055",2
"1056",4
"1057",2
"1058",4
"1059",4
"1060",4
"1061",3
"1062",4
"1063",2
"1064",4
"1065",4
"1066",2
"1067",1
"1068",1
"1069",1
"1070",2
"1071",4
"1072",1
"1073",4
"1074",4
"1075",1
"1076",1
"1077",4
"1078",1
"1079",4
"1080",3
"1081",3
"1082",2
"1083",4
"1084",1
"1085",1
"1086",4
"1087",3
"1088",1
"1089",3
"1090",2
"1091",1
"1092",2
"1093",2
"1094",2
"1095",4
"1096",4
"1097",4
"1098",1
"1099",2
"1100",1
"1101",1
"1102",3
"1103",1
"1104",4
"1105",1
"1106",1
"1107",3
"1108",1
"1109",2
"1110",1
"1111",4
"1112",1
"1113",4
"1114",4
"1115",4
"1116",1
"1117",4
"1118",1
"1119",4
"1120",2
"1121",1
"1122",1
"1123",2
"1124",4
"1125",4
"1126",3
"1127",3
"1128",1
"1129",1
"1130",1
"1131",2
"1132",4
"1133",4
"1134",4
"1135",4
"1136",4
"1137",4
"1138",1
"1139",2
"1140",1
"1141",4
"1142",1
"1143",4
"1144",2
"1145",1
"1146",2
"1147",1
"1148",1
"1149",1
"1150",2
"1151",1
"1152",3
"1153",4
"1154",4
"1155",4
"1156",2
"1157",4
"1158",4
"1159",1
"1160",2
"1161",1
"1162",4
"1163",3
"1164",2
"1165",2
"1166",1
"1167",1
"1168",3
"1169",1
"1170",3
"1171",4
"1172",2
"1173",4
"1174",3
"1175",3
"1176",2
"1177",1
"1178",1
"1179",1
"1180",3
"1181",1
"1182",1
"1183",1
"1184",4
"1185",4
"1186",3
"1187",3
"1188",4
"1189",4
"1190",2
"1191",4
"1192",1
"1193",4
"1194",1
"1195",4
"1196",4
"1197",3
"1198",1
"1199",2
"1200",1
"1201",3
"1202",2
"1203",4
"1204",4
"1205",4
"1206",1
"1207",3
"1208",2
"1209",1
"1210",4
"1211",4
"1212",4
"1213",4
"1214",4
"1215",4
"1216",4
"1217",4
"1218",1
"1219",3
"1220",1
"1221",2
"1222",1
"1223",3
"1224",4
"1225",3
"1226",4
"1227",4
"1228",1
"1229",1
"1230",3
"1231",1
"1232",2
"1233",1
"1234",4
"1235",1
"1236",4
"1237",2
"1238",2
"1239",1
"1240",3
"1241",3
"1242",3
"1243",1
"1244",2
"1245",4
"1246",1
"1247",4
"1248",1
"1249",3
"1250",4
"1251",1
"1252",3
"1253",3
"1254",1
"1255",1
"1256",4
"1257",3
"1258",4
"1259",2
"1260",1
"1261",1
"1262",2
"1263",1
"1264",4
"1265",2
"1266",1
"1267",2
"1268",4
"1269",4
"1270",2
"1271",2
"1272",4
"1273",3
"1274",4
"1275",4
"1276",3
"1277",2
"1278",4
"1279",4
"1280",2
"1281",4
"1282",1
"1283",4
"1284",3
"1285",1
"1286",1
"1287",1
"1288",3
"1289",2
"1290",4
"1291",1
"1292",1
"1293",3
"1294",4
"1295",4
"1296",1
"1297",3
"1298",2
"1299",1
"1300",3
"1301",2
"1302",1
"1303",3
"1304",4
"1305",3
"1306",4
"1307",3
"1308",2
"1309",2
"1310",1
"1311",1
"1312",2
"1313",1
"1314",1
"1315",3
"1316",4
"1317",1
"1318",4
"1319",3
"1320",4
"1321",3
"1322",3
"1323",2
"1324",3
"1325",2
"1326",4
"1327",2
"1328",3
"1329",4
"1330",2
"1331",4
"1332",2
"1333",2
"1334",4
"1335",2
"1336",3
"1337",4
"1338",4
"1339",4
"1340",2
"1341",4
"1342",3
"1343",2
"1344",3
"1345",4
"1346",4
"1347",1
"1348",2
"1349",2
"1350",4
"1351",2
"1352",2
"1353",1
"1354",2
"1355",1
"1356",1
"1357",3
"1358",4
"1359",4
"1360",3
"1361",4
"1362",4
"1363",3
"1364",2
"1365",4
"1366",1
"1367",1
"1368",1
"1369",2
"1370",4
"1371",1
"1372",3
"1373",2
"1374",4
"1375",2
"1376",2
"1377",1
"1378",4
"1379",4
"1380",2
"1381",4
"1382",2
"1383",4
"1384",2
"1385",2
"1386",1
"1387",1
"1388",3
"1389",2
"1390",1
"1391",1
"1392",4
"1393",2
"1394",3
"1395",1
"1396",3
"1397",4
"1398",1
"1399",3
"1400",1
"1401",1
"1402",1
"1403",1
"1404",2
"1405",1
"1406",1
"1407",1
"1408",1
"1409",1
"1410",1
"1411",1
"1412",4
"1413",3
"1414",4
"1415",4
"1416",3
"1417",1
"1418",1
"1419",1
"1420",2
"1421",1
"1422",1
"1423",4
"1424",1
"1425",2
"1426",4
"1427",4
"1428",4
"1429",4
"1430",4
"1431",4
"1432",1
"1433",1
"1434",2
"1435",4
"1436",4
"1437",1
"1438",2
"1439",4
"1440",3
"1441",1
"1442",2
"1443",4
"1444",1
"1445",3
"1446",4
"1447",3
"1448",1
"1449",4
"1450",2
"1451",4
"1452",4
"1453",1
"1454",4
"1455",1
"1456",1
"1457",4
"1458",1
"1459",3
"1460",2
"1461",1
"1462",1
"1463",4
"1464",2
"1465",1
"1466",1
"1467",1
"1468",1
"1469",1
"1470",4
"1471",3
"1472",4
"1473",4
"1474",1
"1475",1
"1476",4
"1477",1
"1478",4
"1479",4
"1480",3
"1481",1
"1482",4
"1483",3
"1484",2
"1485",1
"1486",2
"1487",1
"1488",3
"1489",3
"1490",2
"1491",1
"1492",3
"1493",2
"1494",4
"1495",2
"1496",4
"1497",4
"1498",1
"1499",1
"1500",1
"1501",1
"1502",2
"1503",4
"1504",3
"1505",2
"1506",4
"1507",4
"1508",3
"1509",4
"1510",4
"1511",1
"1512",2
"1513",1
"1514",4
"1515",3
"1516",3
"1517",2
"1518",1
"1519",3
"1520",3
"1521",1
"1522",4
"1523",3
"1524",4
"1525",1
"1526",3
"1527",1
"1528",4
"1529",4
"1530",4
"1531",1
"1532",1
"1533",1
"1534",1
"1535",1
"1536",1
"1537",1
"1538",4
"1539",4
"1540",3
"1541",3
"1542",3
"1543",4
"1544",4
"1545",3
"1546",2
"1547",4
"1548",4
"1549",1
"1550",2
"1551",4
"1552",2
"1553",1
"1554",2
"1555",4
"1556",4
"1557",1
"1558",1
"1559",1
"1560",3
"1561",3
"1562",3
"1563",2
"1564",1
"1565",2
"1566",1
"1567",3
"1568",1
"1569",1
"1570",3
"1571",4
"1572",4
"1573",3
"1574",4
"1575",4
"1576",3
"1577",1
"1578",2
"1579",1
"1580",1
"1581",2
"1582",1
"1583",2
"1584",1
"1585",3
"1586",4
"1587",4
"1588",3
"1589",1
"1590",1
"1591",1
"1592",3
"1593",3
"1594",2
"1595",2
"1596",1
"1597",4
"1598",1
"1599",4
"1600",2
"1601",2
"1602",4
"1603",1
"1604",4
"1605",1
"1606",2
"1607",4
"1608",4
"1609",1
"1610",3
"1611",1
"1612",4
"1613",4
"1614",4
"1615",3
"1616",1
"1617",2
"1618",1
"1619",3
"1620",1
"1621",4
"1622",4
"1623",4
"1624",1
"1625",1
"1626",1
"1627",2
"1628",2
"1629",4
"1630",1
"1631",1
"1632",3
"1633",4
"1634",4
"1635",4
"1636",2
"1637",2
"1638",4
"1639",4
"1640",4
"1641",1
"1642",2
"1643",4
"1644",2
"1645",1
"1646",3
"1647",4
"1648",4
"1649",2
"1650",1
"1651",2
"1652",2
"1653",2
"1654",1
"1655",2
"1656",4
"1657",1
"1658",3
"1659",2
"1660",1
"1661",4
"1662",4
"1663",1
"1664",2
"1665",4
"1666",4
"1667",4
"1668",4
"1669",2
"1670",4
"1671",4
"1672",3
"1673",1
"1674",3
"1675",3
"1676",1
"1677",1
"1678",1
"1679",3
"1680",1
"1681",1
"1682",4
"1683",4
"1684",1
"1685",1
"1686",4
"1687",4
"1688",3
"1689",3
"1690",2
"1691",1
"1692",1
"1693",3
"1694",1
"1695",2
"1696",4
"1697",4
"1698",3
"1699",1
"1700",1
"1701",4
"1702",2
"1703",4
"1704",4
"1705",1
"1706",3
"1707",1
"1708",3
"1709",1
"1710",4
"1711",1
"1712",2
"1713",4
"1714",1
"1715",4
"1716",4
"1717",2
"1718",4
"1719",4
"1720",1
"1721",1
"1722",3
"1723",1
"1724",4
"1725",4
"1726",2
"1727",4
"1728",1
"1729",3
"1730",1
"1731",3
"1732",2
"1733",1
"1734",4
"1735",2
"1736",2
"1737",4
"1738",4
"1739",2
"1740",1
"1741",3
"1742",4
"1743",4
"1744",3
"1745",3
"1746",2
"1747",4
"1748",3
"1749",4
"1750",1
"1751",1
"1752",1
"1753",3
"1754",1
"1755",3
"1756",4
"1757",4
"1758",4
"1759",1
"1760",4
"1761",1
"1762",3
"1763",4
"1764",1
"1765",1
"1766",1
"1767",4
"1768",2
"1769",1
"1770",2
"1771",1
"1772",2
"1773",1
"1774",3
"1775",1
"1776",2
"1777",1
"1778",1
"1779",1
"1780",2
"1781",4
"1782",1
"1783",1
"1784",4
"1785",4
"1786",4
"1787",2
"1788",4
"1789",3
"1790",3
"1791",1
"1792",1
"1793",3
"1794",1
"1795",3
"1796",4
"1797",4
"1798",3
"1799",2
"1800",1
"1801",1
"1802",3
"1803",3
"1804",1
"1805",2
"1806",1
"1807",4
"1808",2
"1809",4
"1810",1
"1811",4
"1812",4
"1813",3
"1814",4
"1815",4
"1816",3
"1817",3
"1818",1
"1819",2
"1820",2
"1821",4
"1822",4
"1823",3
"1824",3
"1825",2
"1826",1
"1827",3
"1828",4
"1829",4
"1830",1
"1831",2
"1832",2
"1833",3
"1834",3
"1835",4
"1836",4
"1837",1
"1838",3
"1839",4
"1840",3
"1841",1
"1842",4
"1843",4
"1844",1
"1845",4
"1846",4
"1847",2
"1848",1
"1849",1
"1850",4
"1851",4
"1852",2
"1853",4
"1854",1
"1855",3
"1856",4
"1857",2
"1858",2
"1859",2
"1860",4
"1861",1
"1862",4
"1863",3
"1864",2
"1865",1
"1866",4
"1867",2
"1868",2
"1869",1
"1870",4
"1871",3
"1872",4
"1873",1
"1874",2
"1875",1
"1876",1
"1877",2
"1878",4
"1879",3
"1880",1
"1881",3
"1882",3
"1883",1
"1884",1
"1885",3
"1886",4
"1887",3
"1888",2
"1889",3
"1890",1
"1891",3
"1892",1
"1893",3
"1894",1
"1895",1
"1896",4
"1897",2
"1898",2
"1899",3
"1900",4
"1901",3
"1902",3
"1903",3
"1904",1
"1905",4
"1906",4
"1907",1
"1908",4
"1909",3
"1910",1
"1911",1
"1912",1
"1913",2
"1914",1
"1915",3
"1916",1
"1917",2
"1918",1
"1919",4
"1920",1
"1921",3
"1922",1
"1923",2
"1924",4
"1925",2
"1926",3
"1927",2
"1928",1
"1929",4
"1930",4
"1931",3
"1932",4
"1933",3
"1934",4
"1935",4
"1936",4
"1937",4
"1938",4
"1939",3
"1940",1
"1941",1
"1942",3
"1943",1
"1944",1
"1945",3
"1946",2
"1947",4
"1948",3
"1949",2
"1950",1
"1951",3
"1952",4
"1953",1
"1954",3
"1955",2
"1956",4
"1957",3
"1958",3
"1959",3
"1960",1
"1961",4
"1962",1
"1963",4
"1964",3
"1965",4
"1966",4
"1967",2
"1968",1
"1969",3
"1970",2
"1971",4
"1972",1
"1973",4
"1974",4
"1975",3
"1976",3
"1977",4
"1978",3
"1979",1
"1980",1
"1981",4
"1982",2
"1983",1
"1984",1
"1985",2
"1986",4
"1987",1
"1988",4
"1989",2
"1990",4
"1991",4
"1992",1
"1993",1
"1994",2
"1995",4
"1996",2
"1997",1
"1998",1
"1999",3
"2000",2
"2001",4
"2002",3
"2003",1
"2004",2
"2005",4
"2006",4
"2007",1
"2008",1
"2009",1
"2010",1
"2011",3
"2012",4
"2013",4
"2014",3
"2015",3
"2016",3
"2017",1
"2018",2
"2019",4
"2020",1
"2021",4
"2022",1
"2023",1
"2024",3
"2025",1
"2026",3
"2027",2
"2028",4
"2029",1
"2030",4
"2031",4
"2032",1
"2033",2
"2034",1
"2035",3
"2036",1
"2037",1
"2038",3
"2039",2
"2040",4
"2041",1
"2042",4
"2043",1
"2044",2
"2045",4
"2046",1
"2047",1
"2048",1
"2049",2
"2050",4
"2051",4
"2052",1
"2053",4
"2054",2
"2055",4
"2056",1
"2057",4
"2058",3
"2059",3
"2060",4
"2061",2
"2062",2
"2063",2
"2064",1
"2065",4
"2066",3
"2067",3
"2068",1
"2069",1
"2070",2
"2071",1
"2072",1
"2073",2
"2074",1
"2075",4
"2076",4
"2077",3
"2078",3
"2079",1
"2080",1
"2081",1
"2082",2
"2083",1
"2084",4
"2085",4
"2086",3
"2087",4
"2088",2
"2089",1
"2090",4
"2091",1
"2092",2
"2093",1
"2094",3
"2095",4
"2096",4
"2097",3
"2098",4
"2099",2
"2100",4
"2101",1
"2102",4
"2103",1
"2104",1
"2105",2
"2106",1
"2107",2
"2108",4
"2109",4
"2110",2
"2111",2
"2112",3
"2113",4
"2114",1
"2115",4
"2116",1
"2117",2
"2118",1
"2119",3
"2120",2
"2121",1
"2122",2
"2123",1
"2124",2
"2125",3
"2126",4
"2127",2
"2128",4
"2129",2
"2130",4
"2131",1
"2132",2
"2133",1
"2134",4
"2135",1
"2136",4
"2137",2
"2138",4
"2139",4
"2140",2
"2141",1
"2142",3
"2143",4
"2144",4
"2145",1
"2146",3
"2147",4
"2148",4
"2149",1
"2150",4
"2151",3
"2152",3
"2153",1
"2154",3
"2155",1
"2156",2
"2157",4
"2158",3
"2159",2
"2160",4
"2161",1
