"","x"
"1",65.58
"2",66.48
"3",65.7
"4",64.33
"5",63.23
"6",62.94
"7",62.92
"8",62.73
"9",62.5
"10",63.35
"11",63.8
"12",64.21
"13",64.11
"14",64.04
"15",63
"16",61.9
"17",61.49
"18",62.27
"19",63.13
"20",63.86
"21",63.53
"22",64.6
"23",65.99
"24",67.5
"25",68.5
"26",69.23
"27",68.57
"28",68.36
"29",68.98
"30",69.58
"31",71.59
"32",73.09
"33",74.75
"34",76.59
"35",79.63
"36",80.94
"37",80.1
"38",78.16
"39",76
"40",74.71
"41",73.6
"42",73.44
"43",73.75
"44",73.88
"45",74
"46",74.29
"47",74.48
"48",74.75
"49",74.77
"50",75.19
"51",74.38
"52",72.69
"53",71.21
"54",69.86
"55",69.18
"56",68.29
"57",67.52
"58",67.87
"59",68.98
"60",69.9
"61",70.42
"62",70.69
"63",69.65
"64",69
"65",69.35
"66",71.33
"67",73.77
"68",76.37
"69",78.1
"70",79.52
"71",80.75
"72",81.17
"73",81.27
"74",81.55
"75",79.75
"76",77.77
"77",76.85
"78",77.25
"79",79.15
"80",81.23
"81",82.04
"82",83.46
"83",85.71
"84",88.25
"85",88.42
"86",88.4
"87",87.54
"88",86.93
"89",87.02
"90",87.25
"91",86.7
"92",85.73
"93",85.38
"94",86.96
"95",88.17
"96",88.56
"97",86.77
"98",84.88
"99",82.85
"100",82.13
"101",82.15
"102",83.04
"103",83.3
"104",84
"105",85.28
"106",86.45
"107",87.17
"108",87.84
"109",87.79
"110",87.75
"111",86.73
"112",85.46
"113",85.35
"114",85
"115",85.07
"116",86.08
"117",86.4
"118",86.54
"119",86.94
"120",87.34
"121",88.13
"122",88.98
"123",89
"124",89.23
"125",89.82
"126",90.35
"127",91.17
"128",92.79
"129",93.25
"130",94.06
"131",94.5
"132",94.73
"133",95.02
"134",95.65
"135",95.84
"136",96.64
"137",97.65
"138",99.12
"139",100.17
"140",101.46
"141",102.56
"142",104.1
"143",105.54
"144",106.41
"145",106.5
"146",106.19
"147",105.07
"148",104.69
"149",104.25
"150",104.4
"151",104.5
"152",105.25
"153",107.27
"154",108.79
"155",110.88
"156",112.6
"157",112.79
"158",113.52
"159",113.89
"160",113.93
"161",113.77
"162",114.1
"163",113.77
"164",114.27
"165",114.88
"166",115.96
"167",116
"168",115.9
"169",115.46
"170",115
"171",114.27
"172",113.36
"173",113.06
"174",112.52
"175",112.1
"176",111.56
"177",111.55
"178",111.98
"179",111.84
"180",111.46
