"","Temp","DewPt","CldCvr","WndSpd","Precip","Inflow"
"1",5.94,1.436366,0.58,1.219485,160.528,156.1173
"2",8.61,-0.28466,0.47,1.14862,65.786,167.7455
"3",12.28,0.856728,0.49,1.33843,24.13,173.1567
"4",11.61,2.696482,0.65,1.147778,178.816,273.1516
"5",20.28,5.699536,0.33,1.25673,2.286,233.4852
"6",23.83,8.275339,0.28,1.104325,0.508,128.4859
"7",25.83,7.42995,0.11,1.181639,1.524,100.8545
"8",27.39,6.203242,0.08,1.187045,0,91.18359
"9",24.17,6.103685,0.15,1.368146,9.144,98.50591
"10",19.06,6.284244,0.27,1.156408,18.542,94.86778
"11",11.17,3.995237,0.65,0.982657,289.052,139.431
"12",8.89,5.67735,0.8,0.970181,863.092,861.1784
"13",8.33,5.402067,0.83,0.83802,467.36,809.5998
"14",7.89,-0.08874,0.57,1.271663,409.448,616.4267
"15",12.11,1.804709,0.46,1.154606,4.064,409.4051
"16",15.39,5.869783,0.57,1.005004,40.64,349.7673
"17",19.11,9.592647,0.42,1.015236,95.758,336.1819
"18",24.61,8.558289,0.19,1.214819,28.956,182.7356
"19",28.11,11.32192,0.09,1.093331,4.318,128.4859
"20",25.78,9.061554,0.16,1.196657,0,114.2097
"21",23.11,7.735127,0.16,1.13288,4.826,110.8786
"22",16.84,6.151525,0.43,1.053082,123.698,132.6306
"23",13.17,2.340449,0.33,1.316003,11.938,123.7272
"24",8.44,-0.8939,0.4,1.276555,5.08,120.657
"25",5.89,-1.72594,0.51,1.307192,217.678,143.6832
"26",10.83,5.639324,0.71,1.128667,385.572,435.9345
"27",12.11,5.683801,0.75,0.803779,185.674,461.4442
"28",15.78,5.954558,0.55,1.0348,110.236,292.6625
"29",18.83,9.876086,0.53,0.850636,134.366,324.6688
"30",26.56,8.172604,0.28,1.024247,1.778,158.466
"31",27.56,7.936391,0.1,1.109551,0,117.8939
"32",25,7.509408,0.09,1.011031,0,102.6966
"33",23.44,10.32956,0.3,1.091289,155.956,122.2996
"34",15.56,9.2351,0.59,0.994211,214.63,181.4461
"35",10.72,2.867145,0.45,1.194955,146.05,179.4044
"36",7.17,4.087894,0.75,0.929332,258.572,291.9717
"37",7.83,4.379874,0.8,1.03506,329.184,408.9446
"38",11.17,7.94146,0.88,0.798115,782.066,1264.465
"39",9.78,3.468644,0.7,0.929332,283.21,607.4301
"40",14.94,5.593265,0.51,1.041628,225.806,663.8442
"41",20.5,10.74034,0.36,0.860848,58.42,368.8791
"42",23.33,12.02226,0.37,0.819398,154.94,248.8821
"43",27.83,14.01638,0.19,0.958167,23.114,158.8805
"44",29.22,12.51094,0.16,1.012833,4.318,129.407
"45",25.11,7.494093,0.23,1.1664,10.668,124.2031
"46",20.67,6.324721,0.27,1.123368,8.89,128.4859
