"","x"
"1",97.85
"2",104.64
"3",94.36
"4",98.05
"5",95.85
"6",95.98
"7",88.63
"8",90.85
"9",92.06
"10",88.75
"11",94.6
"12",92.86
"13",98.02
"14",87.64
"15",97.4
"16",83.24
"17",86.6
"18",90.69
"19",82.86
"20",99.06
"21",81
"22",93.18
"23",86.86
"24",89.35
"25",87.13
"26",88.39
"27",85.38
"28",83.96
"29",84.95
"30",86.81
"31",85.25
"32",94.72
"33",90.96
"34",87.73
"35",92.58
"36",87.02
"37",92.68
"38",97.95
"39",94.19
"40",93.95
"41",92.29
"42",93.48
"43",97.41
"44",96.98
"45",106.6
"46",112.41
"47",118.59
"48",107.9
"49",111.82
"50",102.78
"51",100.63
"52",106.54
"53",105.39
"54",104.99
"55",102.72
"56",104.67
"57",103.3
"58",98.46
"59",100.78
"60",94.43
"61",92.16
"62",92.13
"63",95.04
"64",86.88
"65",95.29
"66",85.39
"67",92.63
"68",88.72
"69",87.09
"70",83.92
"71",89.01
"72",78.14
"73",92.84
"74",88.65
"75",86.66
"76",82.04
"77",105.15
"78",94.19
"79",83.99
"80",88.22
"81",85.59
"82",99.21
"83",87.77
"84",90.39
"85",82.25
"86",102.92
"87",86.84
"88",97.22
"89",94.97
"90",104.86
"91",80.53
"92",102.47
"93",97.8
"94",95.28
"95",105.64
"96",106.44
"97",110.65
"98",114.41
"99",115.98
"100",112.72
"101",115.99
"102",104.14
"103",109.3
"104",111.47
"105",102.67
"106",101.34
"107",94.97
"108",90.48
"109",93.7
"110",81.87
"111",91.12
"112",90.55
"113",89.62
"114",91.63
"115",89.22
"116",84.81
"117",95
"118",83.77
"119",98.26
"120",82.87
"121",85.51
"122",84.67
"123",84.45
"124",93.96
"125",82.47
"126",89.18
"127",87.33
"128",92.67
"129",93.83
"130",86.65
"131",89.35
"132",77.97
"133",86.06
"134",83.34
"135",87.35
"136",90.58
"137",84.72
"138",88.32
"139",82.62
"140",92.52
"141",86.73
"142",99.54
"143",95.5
"144",92.34
"145",97.49
"146",97.9
"147",97.54
"148",103.78
"149",110.17
"150",116.04
"151",132.04
"152",126.95
"153",121.11
"154",119.3
"155",118.2
"156",102.36
"157",98.44
"158",97.87
"159",92.98
"160",96.16
"161",86.83
"162",91.09
"163",92.5
"164",90.64
"165",80.69
"166",99.91
"167",89.09
"168",94.25
"169",93.33
"170",84.08
"171",86.37
"172",86.61
"173",82.47
"174",82.73
"175",98.29
"176",87.02
"177",91.13
"178",80.23
"179",81.36
"180",82.8
"181",87.24
"182",79.37
"183",86.83
"184",82
"185",77.96
"186",79.69
"187",87.32
"188",85.33
"189",92.02
"190",84.03
"191",83.45
"192",82.35
"193",89.17
"194",82.24
"195",93.35
"196",89.16
"197",95.13
"198",89.1
"199",100.32
"200",95.61
"201",99.61
"202",105.82
"203",104.2
"204",95.45
"205",90.48
"206",93.58
"207",91.71
"208",95.29
"209",94.69
"210",102.5
"211",98.58
"212",107.12
"213",99.29
"214",96.85
"215",89.02
"216",96.27
"217",97.55
"218",85.16
"219",94.77
"220",85.45
"221",97.46
"222",83.31
"223",91.41
"224",88.84
"225",86.44
"226",82.08
"227",83.63
"228",95.22
"229",80.28
"230",85.59
"231",84.68
