"","x"
"1",0.8113721
"2",0.4458291
"3",0.3415985
"4",0.2774243
"5",0.2484958
"6",0.2525427
"7",0.2466902
"8",0.2452006
"9",0.2279679
"10",0.2610293
"11",0.3177998
"12",0.7298681
"13",0.8192756
"14",0.4376872
"15",0.3834813
"16",0.2919304
"17",0.255642
"18",0.2369918
"19",0.2495123
"20",0.2280816
"21",0.2335083
"22",0.2679917
"23",0.3030445
"24",0.3594536
"25",0.4932865
"26",0.5692177
"27",0.3593959
"28",0.2741868
"29",0.2424912
"30",0.2241473
"31",0.228084
"32",0.2283657
"33",0.2282342
"34",0.2579092
"35",0.2909701
"36",0.3113483
"37",0.3743171
"38",0.3746391
"39",0.3398281
"40",0.2909505
"41",0.2403667
"42",0.2269297
"43",0.2134564
"44",0.2074597
"45",0.2099793
"46",0.2464345
"47",0.2768291
"48",0.3359459
"49",0.6381312
"50",0.5195216
"51",0.2968231
"52",0.2514277
"53",0.2144966
"54",0.1964111
"55",0.2343862
"56",0.2095384
"57",0.21776
"58",0.2450697
"59",0.2554203
"60",0.3357194
"61",0.5968794
"62",0.5156948
"63",0.3085772
"64",0.2569596
"65",0.2194814
"66",0.2158074
"67",0.2240929
"68",0.2217431
"69",0.2388084
"70",0.2528328
"71",0.260521
"72",0.2822165
"73",0.3096678
"74",0.3330646
"75",0.349702
"76",0.3066515
"77",0.223837
"78",0.2030033
"79",0.2231299
"80",0.1891271
"81",0.1997522
"82",0.2269953
"83",0.2295186
"84",0.3198083
"85",0.49372
"86",0.4728154
"87",0.3094317
"88",0.2343683
"89",0.200722
"90",0.1906996
"91",0.1877136
"92",0.1990874
"93",0.1908602
"94",0.2111834
"95",0.2084524
"96",0.2510464
"97",0.2902977
"98",0.5702096
"99",0.6384278
"100",0.3135166
"101",0.2047724
"102",0.1885323
"103",0.1798065
"104",0.1867087
"105",0.1871117
"106",0.2157304
"107",0.2385934
"108",0.2572363
"109",0.281731
"110",0.3030367
"111",0.2915253
"112",0.2453148
"113",0.2051037
"114",0.1845583
"115",0.2046436
"116",0.1828399
"117",0.1960763
"118",0.2203844
"119",0.224994
"120",0.3036654
"121",0.5712671
"122",0.4351815
"123",0.282585
"124",0.2381904
"125",0.2196089
"126",0.190482
"127",0.1926964
"128",0.1853681
"129",0.1943872
"130",0.2290728
"131",0.225355
"132",0.2569408
