"","x"
"1",70.636
"2",71.04
"3",68.49
"4",65.137
"5",67.918
"6",75.117
"7",72.97
"8",76.106
"9",78.158
"10",82.272
"11",83.902
"12",96.146
"13",94.47
"14",89.112
"15",82.782
"16",83.912
"17",74.008
"18",68.426
"19",75.17
"20",74.32
"21",82.572
"22",86.412
"23",91.476
"24",91.034
"25",97.552
"26",94.63
"27",98.324
"28",95.482
"29",96.576
"30",82.88
"31",91.124
"32",87.964
"33",80.346
"34",85.38
"35",82.282
"36",87.35
"37",88.63
"38",94.028
"39",101.29
"40",96.904
"41",97.232
"42",89.716
"43",85.928
"44",94.558
"45",96.996
"46",101.716
"47",94.998
"48",94.35
"49",94.97
"50",97.862
"51",88.718
"52",75.12
"53",72.482
"54",71.674
"55",73.38
"56",78.395
"57",84.566
"58",84.41
"59",84.062
"60",83.138
"61",86.92
"62",82.914
"63",78.695
"64",78.066
"65",78.876
"66",76.22
"67",78.43
"68",80.806
"69",88.142
"70",95.777
"71",97.492
"72",96.742
"73",99.3
"74",96.92
"75",87.25
"76",93.904
"77",83.255
"78",76.36
"79",73.676
"80",70.078
"81",65.698
"82",66.705
"83",68.626
"84",66.71
"85",69.9
"86",72.104
"87",76.186
"88",77.936
"89",77.244
"90",81.874
"91",80.155
"92",83.875
"93",77.67
"94",63.332
"95",64.508
"96",61.566
"97",57.734
"98",58.07
"99",54.136
"100",54.162
"101",51.258
"102",49.5
"103",50.854
"104",50.796
"105",48.924
"106",52.26
"107",56.46
"108",57.155
"109",56.468
"110",51.486
"111",53.487
"112",54.114
"113",54.464
"114",57.006
"115",54.5
"116",55.722
"117",64.21
"118",71.766
"119",73.302
"120",72.447
"121",76.64
"122",73.542
"123",74.19
"124",73.064
"125",73.028
"126",69.182
"127",71.236
"128",71.206
"129",68.317
"130",70.632
"131",70.484
"132",72.2
"133",73.412
"134",74.173
"135",73.852
"136",78.832
"137",76.696
"138",78.286
"139",75.666
"140",76.692
"141",77.264
"142",77.954
"143",74.097
"144",77.16
"145",78.596
"146",80.056
"147",81.528
"148",82.216
"149",85.334
"150",82.11
"151",81.87
"152",83.066
"153",74.756
"154",73.326
"155",71.16
"156",72.57
"157",76.782
"158",83.532
"159",90.155
"160",86.945
"161",83.942
"162",86.672
"163",87.432
"164",93.508
"165",100.034
"166",100.768
"167",96.652
"168",100.328
"169",103.718
"170",102.622
"171",88.482
"172",88.076
"173",84.448
"174",79.884
"175",81.835
"176",80.158
"177",71.718
"178",71.846
"179",77.452
"180",78.946
"181",78.8
"182",82.6
"183",84.344
"184",78.196
"185",77.936
"186",83.147
"187",89.946
"188",87.626
"189",86.798
"190",88.336
"191",95.262
"192",99.498
"193",106.206
"194",103.488
"195",91.237
"196",92.72
"197",87.672
"198",91.596
"199",86.14
"200",89.54
"201",90.584
"202",86.254
"203",84.286
"204",82.37
"205",88.858
"206",93.386
"207",87.946
"208",85.374
"209",86.138
"210",90.398
"211",89.05
"212",93.893
"213",98.388
"214",98.93
"215",103.552
"216",99.242
"217",101.008
"218",102.214
"219",108.97
"220",107.566
"221",109.08
"222",104.478
"223",111.188
"224",110.492
"225",108.098
"226",105.392
"227",112.568
"228",111.974
"229",119.972
"230",131.214
"231",135.666
"232",137.588
"233",133.05
"234",121.94
"235",114.422
"236",113.732
"237",115.614
"238",113.254
"239",126.195
"240",126.204
"241",119.694
"242",120.124
"243",118.79
"244",122.234
"245",125.672
"246",118.788
"247",116.442
"248",119.002
"249",124.152
"250",131.556
"251",134.402
"252",137.446
"253",140.632
"254",138.51
"255",134.834
"256",128.12
"257",125.462
"258",125.138
"259",128.753
"260",118.618
"261",102.862
"262",107.892
"263",109.495
"264",103.382
"265",116.448
"266",122.356
"267",124.74
"268",131.746
"269",125.47
"270",119.302
"271",121.798
"272",124.457
"273",132.812
"274",141.872
"275",144.462
"276",149.557
"277",151.208
"278",152.43
"279",140.836
"280",149.958
"281",146.434
"282",138.546
"283",137.614
"284",134.772
"285",136.652
"286",145.75
"287",146.324
"288",150.902
"289",156.39
"290",153.164
"291",165.34
"292",157.754
"293",155.07
"294",159.986
"295",171.042
"296",185.076
"297",189.114
"298",185.928
"299",270.08
"300",215.675
"301",194.312
"302",202.392
"303",216.526
"304",194.286
"305",175.612
"306",163.434
"307",153.99
"308",152.362
"309",148.612
"310",143.92
"311",146.466
"312",148.428
"313",157.656
"314",163.408
"315",156.284
"316",164.912
"317",180.2
"318",173.042
"319",175.627
"320",167.432
"321",164.492
"322",148.34
"323",142.28
"324",151.725
"325",161.27
"326",163.27
"327",180.422
"328",178.276
"329",190.816
"330",200.168
"331",212.562
"332",230.11
"333",210.946
"334",210.984
"335",209.14
"336",196.24
"337",199.678
"338",208.747
"339",209.762
"340",198.398
"341",200.296
"342",215.424
"343",221.6
"344",220.476
"345",223.246
"346",227.65
"347",235.88
"348",215.552
"349",198.99
"350",188.782
"351",179.814
"352",164.872
"353",160.638
"354",152.668
"355",152.442
"356",151.54
"357",148.606
"358",148.97
"359",154.558
"360",148.1
"361",156.594
"362",156.836
"363",162.183
"364",169.704
"365",163.708
"366",166.03
"367",174.658
"368",161.562
"369",155.04
"370",141.8
"371",134.287
"372",140.67
"373",147.622
"374",154.496
"375",160.526
"376",172.935
"377",186.656
"378",189.73
"379",190.76
"380",193.008
"381",202.08
"382",203.982
"383",211.808
"384",203.218
"385",218.126
"386",220.648
"387",221.988
"388",231.732
"389",229.226
"390",218.27
"391",215.246
"392",214.192
"393",222.296
"394",222.062
"395",223.817
"396",225.678
"397",208.602
"398",201.902
"399",202.632
"400",192.442
"401",205.014
"402",195.468
"403",208.384
"404",206.93
"405",207.656
"406",214.778
"407",210.652
"408",206.776
"409",209.454
"410",221.596
"411",220.15
"412",236.508
"413",247.412
"414",241.134
"415",248.405
"416",234.002
"417",225.176
"418",230.744
"419",230.832
"420",244.252
"421",250.227
"422",237.472
"423",227.82
"424",226.01
"425",228.144
"426",221.858
"427",236.154
"428",252.66
"429",247.8
"430",249.224
"431",256.134
"432",239.222
"433",256.766
"434",251.506
"435",267.526
"436",281.878
"437",291.214
"438",283.692
"439",301.75
"440",306.678
"441",320.884
"442",324.072
"443",321.752
"444",333.06
"445",329.622
"446",331.874
"447",336.042
"448",329.496
"449",316.398
"450",297.87
"451",298.96
"452",289.422
"453",286.106
"454",288.37
"455",292.568
"456",287.435
"457",293.826
"458",289.178
"459",267.44
"460",239.404
"461",207.434
"462",194.898
"463",180.38
"464",159.028
"465",145.172
"466",131.33
"467",115.708
"468",119.005
"469",102.652
"470",97.918
