"","x"
"1",-0.2
"2",-0.11
"3",-0.1
"4",-0.2
"5",-0.28
"6",-0.31
"7",-0.3
"8",-0.33
"9",-0.2
"10",-0.11
"11",-0.37
"12",-0.24
"13",-0.27
"14",-0.3
"15",-0.31
"16",-0.22
"17",-0.15
"18",-0.11
"19",-0.28
"20",-0.16
"21",-0.09
"22",-0.15
"23",-0.28
"24",-0.36
"25",-0.45
"26",-0.28
"27",-0.23
"28",-0.4
"29",-0.44
"30",-0.47
"31",-0.43
"32",-0.44
"33",-0.35
"34",-0.35
"35",-0.16
"36",-0.11
"37",-0.33
"38",-0.4
"39",-0.26
"40",-0.23
"41",-0.26
"42",-0.21
"43",-0.27
"44",-0.24
"45",-0.28
"46",-0.2
"47",-0.09
"48",-0.2
"49",-0.21
"50",-0.36
"51",-0.13
"52",-0.09
"53",-0.17
"54",-0.28
"55",-0.13
"56",-0.19
"57",-0.15
"58",-0.02
"59",-0.02
"60",-0.03
"61",0.08
"62",0.13
"63",0.1
"64",0.14
"65",0.26
"66",0.12
"67",-0.03
"68",-0.04
"69",-0.09
"70",-0.09
"71",-0.17
"72",-0.06
"73",0.01
"74",0.08
"75",-0.12
"76",-0.14
"77",-0.2
"78",0.03
"79",0.06
"80",0.03
"81",-0.03
"82",0.05
"83",0.02
"84",0.06
"85",-0.2
"86",-0.1
"87",-0.05
"88",-0.02
"89",-0.07
"90",0.07
"91",0.03
"92",-0.09
"93",0.01
"94",0.15
"95",-0.08
"96",-0.01
"97",-0.11
"98",0.18
"99",0.07
"100",0.16
"101",0.27
"102",0.32
"103",0.13
"104",0.31
"105",0.16
"106",0.12
"107",0.19
"108",0.33
"109",0.4
"110",0.28
"111",0.44
"112",0.42
"113",0.23
"114",0.24
"115",0.32
"116",0.46
"117",0.34
"118",0.48
"119",0.63
"120",0.42
"121",0.42
"122",0.55
"123",0.63
"124",0.62
"125",0.55
"126",0.69
"127",0.63
"128",0.66
"129",0.54
"130",0.64
"131",0.72
"132",0.6
"133",0.63
"134",0.66
"135",0.75
"136",0.87
