"","x"
"1",-0.53
"2",-0.51
"3",-0.41
"4",-0.43
"5",-0.72
"6",-0.56
"7",-0.7
"8",-0.74
"9",-0.53
"10",-0.25
"11",-0.61
"12",-0.62
"13",-0.53
"14",-0.56
"15",-0.47
"16",-0.39
"17",-0.36
"18",-0.27
"19",-0.43
"20",-0.35
"21",-0.2
"22",-0.19
"23",-0.4
"24",-0.46
"25",-0.56
"26",-0.39
"27",-0.27
"28",-0.56
"29",-0.42
"30",-0.44
"31",-0.37
"32",-0.39
"33",-0.37
"34",-0.37
"35",-0.11
"36",-0.1
"37",-0.32
"38",-0.54
"39",-0.45
"40",-0.21
"41",-0.3
"42",-0.19
"43",-0.26
"44",-0.28
"45",-0.24
"46",-0.27
"47",-0.05
"48",-0.19
"49",-0.11
"50",-0.35
"51",-0.15
"52",-0.09
"53",-0.11
"54",-0.24
"55",-0.09
"56",-0.22
"57",-0.09
"58",0.01
"59",0.07
"60",-0.12
"61",0.07
"62",0.03
"63",0.03
"64",-0.03
"65",0.04
"66",-0.09
"67",-0.09
"68",0.04
"69",-0.1
"70",-0.13
"71",-0.23
"72",-0.08
"73",-0.04
"74",0.04
"75",-0.14
"76",-0.13
"77",-0.23
"78",0.02
"79",0.07
"80",0.04
"81",-0.03
"82",0.09
"83",0.02
"84",0.02
"85",-0.25
"86",-0.17
"87",-0.06
"88",-0.01
"89",-0.09
"90",0.02
"91",0.08
"92",-0.07
"93",-0.02
"94",0.23
"95",-0.04
"96",0.02
"97",-0.17
"98",0.21
"99",0.13
"100",0.2
"101",0.34
"102",0.43
"103",0.13
"104",0.39
"105",0.21
"106",0.19
"107",0.25
"108",0.41
"109",0.51
"110",0.38
"111",0.52
"112",0.52
"113",0.23
"114",0.27
"115",0.38
"116",0.56
"117",0.48
"118",0.54
"119",0.83
"120",0.59
"121",0.56
"122",0.67
"123",0.79
"124",0.77
"125",0.69
"126",0.87
"127",0.77
"128",0.85
"129",0.64
"130",0.78
"131",0.92
"132",0.78
"133",0.77
"134",0.82
"135",0.88
"136",0.98
