"","x"
"1",1488.9
"2",1496.9
"3",1500.5
"4",1524.3
"5",1546.6
"6",1571.1
"7",1577.6
"8",1580.5
"9",1558.2
"10",1553.6
"11",1570.7
"12",1553.9
"13",1618.4
"14",1667.2
"15",1733.1
"16",1763.9
"17",1782.9
"18",1814.9
"19",1851.6
"20",1855.8
"21",1876.7
"22",1878.2
"23",1889.9
"24",1951.9
"25",1987.4
"26",2004.3
"27",1990.2
"28",1958.6
"29",1949.7
"30",1952.6
"31",1973.7
"32",2014.1
"33",2071.6
"34",2104.3
"35",2132.4
"36",2143.9
"37",2136.4
"38",2152.8
"39",2150.8
"40",2184.1
"41",2198.8
"42",2195
"43",2215.5
"44",2189.2
"45",2131
"46",2143.6
"47",2190.9
"48",2239.7
"49",2286.2
"50",2345.5
"51",2345.5
"52",2354.1
"53",2405.4
"54",2393.9
"55",2398.9
"56",2369.3
"57",2383.7
"58",2427.1
"59",2467.2
"60",2517.5
"61",2561
"62",2590.3
"63",2615.7
"64",2625.1
"65",2654.8
"66",2688.2
"67",2739.8
"68",2760.3
"69",2823.2
"70",2855.7
"71",2894.7
"72",2900.5
"73",2974
"74",3014.6
"75",3073.6
"76",3144.5
"77",3222.6
"78",3234.8
"79",3254.7
"80",3283.7
"81",3313.4
"82",3310.7
"83",3336.6
"84",3360.8
"85",3429.2
"86",3488.3
"87",3513.4
"88",3528.1
"89",3582.2
"90",3590.6
"91",3610.3
"92",3593.3
"93",3589.1
"94",3597.4
"95",3628.3
"96",3587.6
"97",3691.3
"98",3712.8
"99",3738.4
"100",3749.2
"101",3823.4
"102",3910
"103",3950.7
"104",4018.7
"105",4125
"106",4168.3
"107",4158
"108",4192.5
"109",4168.1
"110",4176.5
"111",4126.5
"112",4098
"113",4040.1
"114",4075.6
"115",4148.4
"116",4206.7
"117",4304.2
"118",4341.2
"119",4362
"120",4398.4
"121",4457.6
"122",4535.9
"123",4616.4
"124",4616.6
"125",4636
"126",4804.8
"127",4854.6
"128",4925.8
"129",4939.6
"130",4949.3
"131",4995.6
"132",5011.4
"133",5028.8
"134",4922.5
"135",4911.3
"136",4986.3
"137",5086.4
"138",5048.1
"139",5110.5
"140",5056.8
"141",4969.4
"142",4996.9
"143",4963.4
"144",4964.8
"145",5021.5
"146",5142.2
"147",5233.9
"148",5342
"149",5452.6
"150",5544.3
"151",5591.1
"152",5627.1
"153",5664.3
"154",5710.9
"155",5788.6
"156",5839.6
"157",5887.3
"158",5901.9
"159",5959
"160",5981.7
"161",6027.6
"162",6095.8
"163",6145.8
"164",6254.1
"165",6302
"166",6372.8
"167",6402
"168",6487.4
"169",6565.6
"170",6599.7
"171",6633.4
"172",6663.4
"173",6743.6
"174",6760.8
"175",6742.6
"176",6713.3
"177",6667.4
"178",6692.1
"179",6704.7
"180",6749.4
"181",6811.1
"182",6873.8
"183",6923.3
"184",7015.1
"185",7020.9
"186",7056
"187",7092.4
"188",7182.1
"189",7249.8
"190",7346.3
"191",7385.1
"192",7476
"193",7510.2
"194",7528.6
"195",7572.3
"196",7645.2
"197",7703.1
"198",7820.4
"199",7853.5
"200",7947.9
"201",8025.1
"202",8145.6
"203",8225.1
"204",8276.9
"205",8405.4
"206",8448.7
"207",8517.6
"208",8662
"209",8755.5
"210",8801.8
"211",8906.4
"212",9071.1
"213",9119.7
"214",9233
"215",9238.2
"216",9274
"217",9241.7
"218",9224.3
"219",9199.8
"220",9283.5
"221",9367.5
"222",9376.7
"223",9477.9
