"","x"
"1",-0.28
"2",-0.21
"3",-0.26
"4",-0.27
"5",-0.32
"6",-0.32
"7",-0.29
"8",-0.36
"9",-0.27
"10",-0.17
"11",-0.39
"12",-0.27
"13",-0.32
"14",-0.33
"15",-0.33
"16",-0.25
"17",-0.14
"18",-0.11
"19",-0.25
"20",-0.15
"21",-0.07
"22",-0.14
"23",-0.24
"24",-0.3
"25",-0.34
"26",-0.24
"27",-0.19
"28",-0.39
"29",-0.33
"30",-0.35
"31",-0.33
"32",-0.34
"33",-0.32
"34",-0.3
"35",-0.15
"36",-0.1
"37",-0.3
"38",-0.39
"39",-0.33
"40",-0.2
"41",-0.19
"42",-0.14
"43",-0.26
"44",-0.22
"45",-0.22
"46",-0.17
"47",-0.02
"48",-0.15
"49",-0.12
"50",-0.26
"51",-0.08
"52",-0.02
"53",-0.08
"54",-0.19
"55",-0.07
"56",-0.12
"57",-0.05
"58",0.07
"59",0.1
"60",0.01
"61",0.04
"62",0.1
"63",0.03
"64",0.09
"65",0.19
"66",0.06
"67",-0.05
"68",0
"69",-0.04
"70",-0.07
"71",-0.16
"72",-0.04
"73",0.03
"74",0.11
"75",-0.1
"76",-0.1
"77",-0.17
"78",0.08
"79",0.08
"80",0.06
"81",-0.01
"82",0.07
"83",0.04
"84",0.08
"85",-0.21
"86",-0.11
"87",-0.03
"88",-0.01
"89",-0.04
"90",0.08
"91",0.03
"92",-0.1
"93",0
"94",0.14
"95",-0.08
"96",-0.05
"97",-0.16
"98",0.12
"99",0.01
"100",0.08
"101",0.18
"102",0.26
"103",0.04
"104",0.26
"105",0.09
"106",0.05
"107",0.12
"108",0.26
"109",0.31
"110",0.19
"111",0.37
"112",0.35
"113",0.12
"114",0.13
"115",0.23
"116",0.37
"117",0.29
"118",0.39
"119",0.56
"120",0.32
"121",0.33
"122",0.48
"123",0.56
"124",0.55
"125",0.48
"126",0.62
"127",0.54
"128",0.57
"129",0.43
"130",0.57
