"","x"
"1",-0.24
"2",-0.19
"3",-0.14
"4",-0.19
"5",-0.45
"6",-0.32
"7",-0.42
"8",-0.54
"9",-0.24
"10",-0.05
"11",-0.41
"12",-0.47
"13",-0.39
"14",-0.42
"15",-0.29
"16",-0.21
"17",-0.1
"18",-0.04
"19",-0.21
"20",-0.13
"21",0.02
"22",0.02
"23",-0.17
"24",-0.27
"25",-0.37
"26",-0.17
"27",-0.07
"28",-0.36
"29",-0.23
"30",-0.26
"31",-0.17
"32",-0.2
"33",-0.22
"34",-0.2
"35",0.02
"36",0.03
"37",-0.2
"38",-0.4
"39",-0.32
"40",-0.07
"41",-0.14
"42",-0.07
"43",-0.15
"44",-0.18
"45",-0.13
"46",-0.14
"47",0.06
"48",-0.07
"49",-0.02
"50",-0.22
"51",-0.03
"52",0.02
"53",0.01
"54",-0.13
"55",0.04
"56",-0.1
"57",0
"58",0.11
"59",0.15
"60",-0.02
"61",0.14
"62",0.11
"63",0.1
"64",0.04
"65",0.08
"66",-0.01
"67",0
"68",0.12
"69",-0.03
"70",-0.09
"71",-0.17
"72",-0.02
"73",0.04
"74",0.12
"75",-0.08
"76",-0.07
"77",-0.17
"78",0.08
"79",0.1
"80",0.05
"81",-0.01
"82",0.09
"83",0.04
"84",0.03
"85",-0.25
"86",-0.15
"87",-0.07
"88",-0.01
"89",-0.09
"90",0
"91",0.05
"92",-0.1
"93",-0.06
"94",0.19
"95",-0.07
"96",-0.02
"97",-0.23
"98",0.15
"99",0.06
"100",0.13
"101",0.27
"102",0.39
"103",0.06
"104",0.32
"105",0.13
"106",0.12
"107",0.18
"108",0.34
"109",0.41
"110",0.27
"111",0.47
"112",0.42
"113",0.14
"114",0.17
"115",0.3
"116",0.44
"117",0.36
"118",0.38
"119",0.7
"120",0.43
"121",0.41
"122",0.56
"123",0.68
"124",0.65
"125",0.59
"126",0.77
"127",0.65
"128",0.73
"129",0.55
"130",0.72
