"","x"
"1",79
"2",65.9
"3",70.9
"4",66.7
"5",75.2
"6",68.1
"7",71.7
"8",66.5
"9",84
"10",75.6
"11",74.6
"12",75.1
"13",88.1
"14",69.1
"15",75
"16",72.5
"17",87
"18",78.8
"19",79.9
"20",76.8
"21",88
"22",77.1
"23",82.1
"24",77.8
"25",81.7
"26",75.1
"27",81.3
"28",75.1
"29",85.9
"30",73.9
"31",81
"32",75.7
"33",83.9
"34",75.5
"35",81
"36",74.3
"37",68.2
"38",70.7
"39",79.7
"40",72.5
"41",75.3
"42",68.6
"43",75.5
"44",75.2
"45",75.3
"46",67.9
"47",73.8
"48",72.5
"49",80.9
"50",72.7
"51",79.1
"52",74.8
"53",79.5
"54",70.3
"55",79.2
"56",75.1
"57",81.9
"58",72.3
"59",77.1
"60",70
"61",79.5
"62",70.8
"63",75.5
"64",69.9
"65",77.4
"66",68.7
"67",72.9
"68",67.7
"69",77
"70",67.7
"71",75
"72",68.7
"73",79.2
"74",75.2
"75",78.5
"76",73.1
"77",80.7
"78",70.7
"79",70.3
"80",57.2
"81",71.7
"82",67.9
"83",72.5
"84",67.1
"85",74.4
"86",67.1
"87",77.4
"88",71.3
"89",80.2
"90",75.7
"91",81.5
"92",73.4
"93",83.8
"94",78.4
"95",84.8
"96",77.2
"97",83.6
"98",78.2
"99",82.5
"100",74.1
"101",77.5
"102",72
"103",78.6
"104",72
"105",78.7
"106",68.8
"107",70.5
"108",63.8
"109",66.7
"110",63.7
"111",67.3
"112",63.5
"113",70.6
"114",67.3
"115",75.2
"116",69.5
"117",76.6
"118",68.6
"119",76.1
"120",71.9
"121",80.3
"122",73.8
"123",78.9
"124",74.5
"125",82
"126",74.2
"127",77.8
"128",72.3
"129",80.8
"130",74
"131",78.7
"132",74.7
"133",80
"134",77.9
"135",79.9
"136",78
