"","tmort","rmort","cmort","tempr","rh","co","so2","no2","hycarb","o3","part"
"1",183.63,11.9,97.85,72.38,29.2,11.51,3.37,9.64,45.79,6.69,72.72
"2",191.05,10.75,104.64,67.19,67.51,8.92,2.59,10.05,43.9,6.83,49.6
"3",180.09,9.33,94.36,62.94,61.42,9.48,3.29,7.8,32.18,4.98,55.68
"4",184.67,9.54,98.05,72.49,58.99,10.28,3.04,13.39,40.43,9.25,55.16
"5",173.6,8.27,95.85,74.25,34.8,10.57,3.39,11.9,48.53,9.15,66.02
"6",183.73,7.55,95.98,67.88,66.78,7.99,2.57,10.11,48.61,8.8,44.01
"7",171.79,9.12,88.63,74.2,35.16,10.51,2.35,9.49,38.76,7.42,47.83
"8",177.95,7.76,90.85,74.88,55.86,9.84,3.38,10.72,45.19,10.68,43.6
"9",180.01,7.47,92.06,64.17,52.68,6.61,1.5,5.77,31.65,5.85,24.99
"10",163.71,7.44,88.75,67.09,50.94,7.9,2.56,7.43,40.2,7.63,40.41
"11",179.59,8.91,94.6,78.29,32.73,10.74,3.04,12.18,48.69,8.51,51.93
"12",174.43,9.73,92.86,68.07,55.73,5.89,2.64,7.39,32.93,7.86,32.26
"13",187.41,9.86,98.02,86.7,37.86,12.7,5.14,20.7,72.22,15.69,73.65
"14",163.37,8.04,87.64,69.43,63.45,4.82,2.87,7.86,37.39,9.52,30.15
"15",182.37,10.73,97.4,75.22,62.61,7.1,3.54,10.01,41.79,11.32,41.1
"16",156.69,6.73,83.24,77.29,65.41,6.29,2.67,10.12,34.38,13.42,41.53
"17",174.64,7.77,86.6,69.96,63.21,5.03,1.55,4.78,32.71,4.64,29.46
"18",174.84,8.23,90.69,79.35,63.68,7.81,2.93,11.06,42.56,14.55,51.13
"19",165.49,10.31,82.86,82.94,52.8,7.97,3.64,13.27,52.34,12.72,41.37
"20",186.94,10.28,99.06,89.79,50.7,9.53,5.91,18.28,63.8,19.94,59.49
"21",164.5,9.08,81,80.19,65.85,7.55,3.69,12.51,37.49,12.46,48.25
"22",174.94,5.46,93.18,87.58,55.12,8.61,4.3,12.39,61.25,16.88,51.73
"23",164.87,5.35,86.86,81.76,62.04,6.73,3.97,10.5,42.74,13.82,44.21
"24",169.54,5.64,89.35,86.79,48.99,9.78,4.98,13.77,59.4,17.95,59.59
"25",173.96,7.83,87.13,87.46,55.93,9.28,5.64,16.05,65.62,20.04,60.82
"26",171.35,9.2,88.39,88.21,55.28,9.08,3.99,10.5,60.37,14.63,55.01
"27",163.97,5.81,85.38,83.4,62.76,7.5,4.2,12.23,48.91,14.56,50.59
