"","x"
"1",0.003348537
"2",-0.01417549
"3",-0.01672709
"4",0.00229364
"5",-0.01692098
"6",-0.004493365
"7",0.004325932
"8",-0.008835907
"9",0.009501443
"10",-0.001498772
"11",-0.001283524
"12",-0.002760432
"13",-0.00723415
"14",-0.002206581
"15",-0.0009769819
"16",0.01972649
"17",0.01174509
"18",-0.01400964
"19",0.002369692
"20",0.006914897
"21",0.006802367
"22",-0.007770136
"23",-0.01023434
"24",-0.0105725
"25",0.00339184
"26",-0.005214743
"27",0.01108923
"28",0.00412551
"29",8.215159e-05
"30",0.004724811
"31",0.01067442
"32",-0.009216455
"33",0.005606139
"34",-0.001050799
"35",-0.01056231
"36",-0.0001468549
"37",-0.001367933
"38",0.003357476
"39",0.01443892
"40",-0.001421596
"41",-0.00078409
"42",-0.006828308
"43",-0.002858831
"44",-0.0007325329
"45",-0.01539721
"46",0.001295518
"47",3.005304e-05
"48",0.002246039
"49",-0.005187498
"50",0.01537322
"51",-0.001371485
"52",0.005450853
"53",0.004504872
"54",-0.006003766
"55",0.0003680737
"56",-0.006590283
"57",0.006329246
"58",0.003733093
"59",0.01009232
"60",-0.001275675
"61",0.0002664517
"62",0.009413986
"63",0.002753909
"64",-0.002671985
"65",-0.0112793
"66",0.001056141
"67",0.006266524
"68",-0.002806005
"69",-0.001340945
"70",-0.008498062
"71",-0.006479874
"72",0.002835387
"73",-0.0001640611
"74",-0.009429674
"75",-0.005792533
"76",-0.006111088
"77",-0.006550216
"78",-0.004303657
"79",-0.01307478
"80",0.001761396
"81",-0.007526783
"82",0.0001996454
"83",0.003049857
"84",0.01673703
"85",0.007963804
"86",-0.004046848
"87",0.007196403
"88",8.221123e-05
"89",0.001526424
"90",-0.01251782
"91",-0.004559457
"92",-0.0008016312
"93",-0.01003537
"94",-0.006998925
"95",0.01498301
"96",0.005816272
"97",0.01197002
"98",-0.001015996
"99",0.000378789
"100",-0.002740551
"101",-0.007611512
"102",-0.00665165
"103",0.006807592
"104",0.002290782
"105",-0.0005917046
"106",0.003268825
"107",-0.005431065
"108",-0.003215075
"109",0.00587706
"110",-0.002384009
"111",-0.0137303
"112",-0.00385276
"113",0.005004902
"114",0.002800071
"115",0.00444614
"116",-0.005591955
"117",-0.006472892
"118",-0.005287313
"119",-0.005805238
"120",-0.006751497
"121",0.005467
"122",0.007899208
"123",0.007570187
"124",-0.005137248
"125",0.002424572
"126",0.02102357
"127",0.02454506
"128",0.02820719
"129",0.00222102
"130",-0.0001632425
"131",-0.005078698
"132",0.0212948
"133",0.001501197
"134",-0.0008347051
"135",-0.00511629
"136",-0.008266633
"137",0.005615002
"138",0.00153392
"139",0.003398422
"140",0.01603703
"141",-0.003215918
"142",0.001192563
"143",0.001979682
"144",-0.005693044
"145",0.004813215
"146",-0.0005075857
"147",-0.002836161
"148",0.0008015455
"149",-0.009123252
"150",-0.003759872
"151",0.007252893
"152",-0.006476932
"153",-0.0008299788
"154",0.001477338
"155",0.0003487937
"156",0.01740326
"157",0.005981793
"158",0.0005819527
"159",-0.00533599
"160",-0.003653074
"161",0.003027854
"162",-0.008285331
"163",-0.003460258
"164",0.0009918597
"165",0.003381711
"166",0.00378051
"167",-0.004149108
"168",-0.008476554
"169",-0.006087281
"170",-0.006470605
"171",0.001974248
"172",-0.0008812609
"173",-0.003458109
"174",-0.002081917
"175",0.00238083
"176",0.003993962
"177",0.008784776
"178",0.008325338
"179",-0.004330932
"180",-0.003516661
"181",0.01996318
"182",0.0005170196
"183",-0.003473144
"184",-0.001397125
"185",0.0002180723
"186",-0.004679649
"187",-0.006228205
"188",-0.003316771
"189",0.01097005
"190",-0.003877436
