"","x"
"1",26.2
"2",26.07
"3",26.34
"4",24.95
"5",26.27
"6",29.37
"7",28.34
"8",28.08
"9",28.83
"10",29.87
"11",30.1
"12",31.07
"13",32.14
"14",31.29
"15",27.99
"16",26.92
"17",25.6
"18",24.87
"19",26.66
"20",25.95
"21",26.75
"22",28.7
"23",29.88
"24",29.46
"25",29.98
"26",29.79
"27",32.45
"28",33.55
"29",32.12
"30",30.4
"31",30.44
"32",30.65
"33",28.02
"34",28.5
"35",30.14
"36",31.82
"37",32.46
"38",33.08
"39",34.42
"40",34.7
"41",35.49
"42",31.13
"43",31.27
"44",33.9
"45",33.48
"46",33.92
"47",32.78
"48",33.46
"49",35
"50",35.91
"51",34.1
"52",29.69
"53",29.05
"54",27.38
"55",26.52
"56",27.8
"57",28.81
"58",30.63
"59",31.35
"60",29.59
"61",30.92
"62",29.67
"63",28.65
"64",27.91
"65",28.45
"66",27.02
"67",26.42
"68",26.86
"69",26.76
"70",28.27
"71",27.89
"72",26.99
"73",28.36
"74",28.12
"75",29.08
"76",28.92
"77",28.44
"78",27.98
"79",28.9
"80",27.09
"81",26.37
"82",26.87
"83",27.07
"84",25.26
"85",26.5
"86",27.1
"87",27.87
"88",27.52
"89",27.25
"90",26.84
"91",27.38
"92",28.22
"93",27.09
"94",22.35
"95",22.6
"96",22.66
"97",21.92
"98",21.78
"99",21.17
"100",20.7
"101",19.61
"102",18.28
"103",19.13
"104",19.47
"105",18.45
"106",19.2
"107",20.94
"108",20.8
"109",20.54
"110",18.61
"111",19.21
"112",19.71
"113",19.97
"114",21.18
"115",20.7
"116",21.43
"117",23.31
"118",24.4
"119",25.25
"120",25.86
"121",26.99
"122",25.24
"123",25.54
"124",26.46
"125",26.88
"126",27.27
"127",28.43
"128",27.18
"129",25.22
"130",25.01
"131",24.94
"132",25.61
"133",26.52
"134",26.81
"135",26.7
"136",27.62
"137",26.64
"138",26.87
"139",26.77
"140",28.52
"141",30.09
"142",28.84
"143",28.65
"144",29.59
"145",29.39
"146",30.63
"147",30.25
"148",29.37
"149",29.65
"150",27.88
"151",27.03
"152",25.97
"153",25.68
"154",26.98
"155",26.83
"156",27.14
"157",27.82
"158",30.35
"159",32.38
"160",31.96
"161",31.54
"162",33.04
"163",34.46
"164",33.19
"165",33.95
"166",35.79
"167",36.78
"168",36.98
"169",36.98
"170",36.66
"171",30.46
"172",30.43
"173",29.33
"174",28.03
"175",29.28
"176",28.43
"177",25.69
"178",26.58
"179",28.54
"180",29.29
"181",29.1
"182",30.68
"183",31.46
"184",30.6
"185",30.01
"186",30.31
"187",30.73
"188",31.48
"189",30.61
"190",30.73
"191",32.11
"192",31.31
"193",31.19
"194",31.56
"195",29.2
"196",28.92
"197",27.39
"198",27.73
"199",29.43
"200",30.69
"201",31.49
"202",30.17
"203",29.28
"204",29.79
"205",31.56
"206",32.58
"207",30.11
"208",30.63
"209",32.16
"210",33.2
"211",32.24
"212",32.68
"213",33.89
"214",34.51
"215",35.45
"216",33.61
"217",33.41
"218",33.88
"219",35.54
"220",36.08
"221",36.67
"222",36.44
"223",37.78
"224",36.65
"225",35.23
"226",35.7
"227",37.39
"228",37.32
"229",37.31
"230",39.24
"231",40.37
"232",40.84
"233",40.65
"234",40.01
"235",37.99
"236",37.86
"237",37.7
"238",37.14
"239",39.73
"240",40.33
"241",41.27
"242",42.5
"243",43.81
"244",45.24
"245",47.28
"246",44.34
"247",43.28
"248",43.33
"249",44.39
"250",47.82
"251",49.71
"252",51.77
"253",54.12
"254",54.43
"255",53.43
"256",49.81
"257",48
"258",47.02
"259",48.79
"260",46.06
"261",41.91
"262",43.5
"263",44.39
"264",42.52
"265",44.07
"266",46.79
"267",47.85
"268",48.56
"269",46.97
"270",46.08
"271",47.82
"272",51.75
"273",52.74
"274",54.22
"275",55.93
"276",52.95
"277",54.97
"278",55.24
"279",51.44
"280",52.39
"281",52
"282",50.64
"283",50.33
"284",47.77
"285",50.15
"286",53.76
"287",53.74
"288",56.18
"289",59.04
"290",58.21
"291",60.36
"292",59.18
"293",57.3
"294",59.39
"295",61.64
"296",64.85
"297",64.92
"298",66.34
"299",68.47
"300",64.81
"301",63.84
"302",66.43
"303",66.06
"304",63.06
"305",62.87
"306",62.28
"307",61.33
"308",60.34
"309",58.8
"310",57
"311",58.13
"312",57.78
"313",59.83
"314",60.32
"315",57.97
"316",59.82
"317",63.39
"318",63.74
"319",66.79
"320",66.82
"321",66.59
"322",63.06
"323",59.37
"324",59.93
"325",62.27
"326",60.89
"327",62.64
"328",61.36
"329",65.67
"330",66.56
"331",68.85
"332",71.87
"333",70.38
"334",72.14
"335",71.5
"336",69.07
"337",70.35
"338",71.53
"339",71.54
"340",69.48
"341",69.94
"342",72.65
"343",74.65
"344",75.21
"345",73.98
"346",73.87
"347",75.2
"348",75.63
"349",71.79
"350",72.12
"351",70.01
"352",67.53
"353",63.98
"354",61.4
"355",61.94
"356",59.77
"357",58.58
"358",58.48
"359",58.88
"360",58.55
"361",59.96
"362",57.56
"363",57.24
"364",62.02
"365",62.32
"366",61.91
"367",62.4
"368",60.66
"369",57.76
"370",54.11
"371",51.51
"372",53.57
"373",57.11
"374",58.99
"375",58.41
"376",59.57
"377",61.64
"378",60.85
"379",57.94
"380",58.26
"381",64.18
"382",64.82
"383",62.58
"384",63.06
"385",65.26
"386",63.82
"387",61.9
"388",63.61
"389",64.89
"390",63.94
"391",65.9
"392",66.62
"393",68.78
"394",69.13
"395",71.78
"396",72.79
"397",74.92
"398",75.15
"399",76.75
"400",71.92
"401",72.05
"402",70.19
"403",72.93
"404",75.96
"405",78.95
"406",82.26
"407",81.7
"408",80.59
"409",81.46
"410",87.8
"411",89.23
"412",93.46
"413",95.81
"414",93.56
"415",97.93
"416",92.47
"417",88.71
"418",91.18
"419",91.16
"420",95.64
"421",98.17
"422",94.76
"423",91.51
"424",89.41
"425",91.14
"426",89.08
"427",94.13
"428",99.61
"429",100.84
"430",103.44
"431",109.35
"432",105.28
"433",104.49
"434",103.46
"435",109.71
"436",114.33
"437",118.53
"438",115.42
"439",123.01
"440",124.96
"441",130.14
"442",128.47
"443",128.16
"444",134.8
"445",134.34
"446",137
"447",142.52
"448",139.95
"449",135.37
"450",125.92
"451",124.57
"452",118.8
"453",114.4
"454",115.7
"455",116.09
"456",108.37
"457",102.88
"458",97.19
"459",111.12
"460",96.59
"461",86.24
"462",75.19
"463",68.56
"464",65.21
"465",64.31
"466",58.6
"467",52.26
"468",53.27
"469",45.6
"470",44.57
"471",39.7
"472",32.98
"473",42.4
"474",44.46
"475",36.73
"476",42.15
"477",42.7
"478",40.78
"479",36.94
"480",37.15
"481",41.1
"482",43.18
"483",45.66
"484",49.49
"485",52.99
"486",50.34
"487",50.46
"488",49.86
"489",47.8
"490",50.2
"491",55.96
"492",57.94
"493",60.32
"494",64.32
"495",68.11
"496",70.85
"497",70.62
"498",68.58
"499",69.32
"500",61.48
"501",61.29
"502",65.28
"503",67.03
"504",71.58
"505",69.64
"506",70.8
"507",72.37
"508",68.39
"509",70.91
"510",71.32
"511",68.33
"512",68.84
"513",70.8
