"","x"
"1",72.72
"2",49.6
"3",55.68
"4",55.16
"5",66.02
"6",44.01
"7",47.83
"8",43.6
"9",24.99
"10",40.41
"11",51.93
"12",32.26
"13",73.65
"14",30.15
"15",41.1
"16",41.53
"17",29.46
"18",51.13
"19",41.37
"20",59.49
"21",48.25
"22",51.73
"23",44.21
"24",59.59
"25",60.82
"26",55.01
"27",50.59
"28",55.05
"29",48
"30",55.37
"31",64.44
"32",75
"33",61.46
"34",50.04
"35",49.9
"36",51.14
"37",77.88
"38",46.71
"39",73.86
"40",76.87
"41",39.85
"42",71.52
"43",63.87
"44",48.81
"45",68.82
"46",64.39
"47",81.76
"48",73.55
"49",67.99
"50",75.37
"51",65.23
"52",69.91
"53",44.34
"54",40.8
"55",55.09
"56",38.44
"57",53.54
"58",42.46
"59",53.22
"60",44.41
"61",31.29
"62",31.1
"63",35.92
"64",37.73
"65",35
"66",36.25
"67",22.75
"68",32.26
"69",34.77
"70",52.73
"71",36.59
"72",30.04
"73",49.91
"74",42.6
"75",35.89
"76",41.76
"77",47.03
"78",36.62
"79",31.4
"80",46.76
"81",30.6
"82",60.58
"83",33.3
"84",50.08
"85",46.99
"86",73.07
"87",50.28
"88",71.6
"89",50.09
"90",82.85
"91",58.36
"92",62.63
"93",71.27
"94",50.85
"95",65.13
"96",74.74
"97",39.59
"98",69.67
"99",84.23
"100",84.96
"101",67.68
"102",58.62
"103",57.02
"104",64.58
"105",63.25
"106",56.92
"107",46.59
"108",49.2
"109",48.55
"110",39.16
"111",43.59
"112",43.26
"113",35.86
"114",40.4
"115",44.84
"116",28.72
"117",44.4
"118",24.24
"119",37.13
"120",38.01
"121",32.22
"122",32.86
"123",25.83
"124",37.95
"125",36.93
"126",34.03
"127",27.68
"128",52.62
"129",36.51
"130",33.53
"131",39.94
"132",36.85
"133",38.93
"134",24.55
"135",48.89
"136",48.69
"137",42.71
"138",42.34
"139",50.98
"140",56.67
"141",61.51
"142",73.11
"143",57.48
"144",56.63
"145",67.47
"146",71.64
"147",54.52
"148",74.98
"149",74.95
"150",57.3
"151",71.59
"152",69.8
"153",47.92
"154",63.78
"155",59.76
"156",40.04
"157",47.44
"158",42.77
"159",41.51
"160",31.86
"161",41.68
"162",29.07
"163",30.83
"164",44.48
"165",38.35
"166",30.98
"167",37.46
"168",39.57
"169",40.28
"170",31.64
"171",36.16
"172",26.97
"173",45.76
"174",28.17
"175",47.48
"176",37.47
"177",38.23
"178",30.47
"179",32.5
"180",42.1
"181",33.92
"182",30.54
"183",45.7
"184",37.03
"185",30.5
"186",33.47
"187",36.95
"188",41.08
"189",56.16
"190",41.31
"191",66.01
"192",56.46
"193",62.06
"194",54.2
"195",73.04
"196",45.54
"197",53.33
"198",67.77
"199",75.61
"200",71.46
"201",63.29
"202",62.04
"203",38.94
"204",63.31
"205",67.74
"206",73.76
"207",70.13
"208",65.87
"209",53.98
"210",52.55
"211",47.86
"212",46.35
"213",63.72
"214",30.78
"215",30.02
"216",38.49
"217",42.06
"218",37.61
"219",40.2
"220",29.69
"221",29.53
"222",25.86
"223",38.95
"224",25.7
"225",27.84
"226",35.82
