"","x"
"1",40.6
"2",41.1
"3",40.5
"4",40.1
"5",40.4
"6",41.2
"7",39.3
"8",41.6
"9",42.3
"10",43.2
"11",41.8
"12",40.5
"13",40
"14",40.1
"15",39.3
"16",38.5
"17",37.7
"18",37.9
"19",36
"20",39
"21",40
"22",39.2
"23",39
"24",38.8
"25",39.8
"26",40.3
"27",41.6
"28",42.6
"29",43
"30",44.7
"31",43.4
"32",48.3
"33",48.7
"34",50
"35",48.3
"36",48.2
"37",48.5
"38",49.6
"39",50
"40",49.4
"41",48.6
"42",49.1
"43",45.5
"44",48
"45",49.1
"46",49.5
"47",48.9
"48",48.2
"49",49
"50",50.1
"51",50.4
"52",49.1
"53",48.3
"54",48.4
"55",44.9
"56",50.6
"57",53.4
"58",54.5
"59",54.5
"60",53.6
"61",54.2
"62",55.6
"63",56.3
"64",55.8
"65",55.8
"66",55.9
"67",53.2
"68",55.8
"69",55.5
"70",55.8
"71",53.2
"72",51
"73",51.3
"74",52
"75",51.8
"76",51.2
"77",51.3
"78",51.9
"79",48.8
"80",51.3
"81",52.3
"82",53.5
"83",53.6
"84",53.4
"85",54.7
"86",56.2
"87",57.5
"88",57.9
"89",58.4
"90",59.1
"91",55.8
"92",58.6
"93",60.1
"94",61.9
"95",61.3
"96",60.4
"97",60.5
"98",61.1
"99",61.2
"100",61.6
"101",60.7
"102",61
"103",55.2
"104",60.4
"105",62.6
"106",63.8
"107",62.6
"108",62
"109",62
"110",63.5
"111",63.6
"112",62.3
"113",61.8
"114",63.1
"115",59.4
"116",62.8
"117",63
"118",62.6
"119",60.4
"120",57.8
"121",57
"122",56.4
"123",55.8
"124",54.7
"125",55
"126",57.6
"127",59.4
"128",58.7
"129",60.7
"130",61.3
"131",62.1
"132",60.8
"133",61.9
"134",63.8
"135",65.2
"136",66.4
"137",67.2
"138",68.5
"139",62.9
"140",63.3
"141",64.5
"142",64.6
"143",63.6
"144",65.9
"145",67.8
"146",68.2
"147",68
"148",67.5
"149",67.3
"150",67.5
"151",63.4
"152",65.6
"153",66.6
"154",66.9
"155",64.5
"156",61.7
"157",62
"158",62.7
"159",63.5
"160",65.1
"161",66.1
"162",68
"163",64.6
"164",67.9
"165",69.5
"166",71.1
"167",70.5
"168",69.4
"169",68.9
"170",71
"171",72.1
"172",72.4
"173",72.4
"174",73.4
"175",69.7
"176",71.9
"177",74.7
"178",75
"179",73.6
"180",71.8
"181",72.4
"182",74.7
"183",75.7
"184",76.4
"185",77.1
"186",78.6
"187",73.4
"188",75.5
"189",78.9
"190",80.2
"191",78.7
"192",76.5
"193",77.5
"194",79.8
"195",80.2
"196",81.5
"197",81.9
"198",83.2
"199",78.3
"200",81.3
"201",84.6
"202",83.9
"203",84.5
"204",83.4
"205",84.8
"206",87
"207",88.8
"208",88.8
"209",89.5
"210",91.7
"211",86.7
"212",89.4
"213",92.4
"214",94.5
"215",93
"216",91.4
"217",92.7
"218",95.3
"219",97.3
"220",97.1
"221",97.8
"222",100
"223",93.8
"224",97.2
"225",101.7
"226",102.8
"227",100
"228",97.5
"229",98.1
"230",99.1
"231",99
"232",99.6
"233",98.7
"234",100.9
"235",94.4
"236",99.6
"237",102.7
"238",103.4
"239",103.1
"240",101.4
"241",101.8
"242",104.5
"243",105.6
"244",104.9
"245",106.5
"246",109.3
"247",102.5
"248",105.5
"249",109.6
"250",110.1
"251",109.6
"252",106.2
"253",107.3
"254",110.4
"255",111.6
"256",110.6
"257",110.5
"258",114
"259",107.3
"260",111.6
"261",115.1
"262",115.1
"263",112
"264",108.3
"265",106.5
"266",109.1
"267",109.4
"268",108.8
"269",108.6
"270",110.8
"271",104.5
"272",108
"273",110.4
"274",108
"275",105.1
"276",104.1
"277",105.5
"278",108.3
"279",108.6
"280",108.8
"281",109.5
"282",112.5
"283",105.4
"284",108.8
"285",113.5
"286",113.9
"287",111.6
"288",108.5
"289",111.5
"290",115.6
"291",116.8
"292",118.7
"293",118.4
"294",121.8
"295",114.2
"296",120.5
"297",125.5
"298",126.8
"299",125.2
"300",121.8
"301",122.7
"302",128.1
"303",128.8
"304",128.6
"305",129.6
"306",133
"307",126.4
"308",130.3
"309",134.8
"310",135.3
"311",132.9
"312",126.7
"313",126.3
"314",129.8
"315",130.8
"316",129.9
"317",131.7
"318",135.3
"319",127.3
"320",131.4
"321",135.5
"322",133.1
"323",125.5
"324",114.9
"325",111.8
"326",113
"327",111.8
"328",113
"329",113.8
"330",119.2
"331",114.5
"332",121.4
"333",125.9
"334",125.4
"335",123.8
"336",119.8
"337",122.2
"338",128.3
"339",128.6
"340",128.7
"341",130
"342",133.2
"343",126.5
"344",131.7
"345",134.3
"346",133.8
"347",132.1
"348",128.3
"349",128.8
"350",133.6
"351",135.7
"352",136.2
"353",137.2
"354",141.5
"355",134.1
"356",138.2
"357",142.4
"358",142.7
"359",139.5
"360",134.9
"361",134.8
"362",139.6
"363",141.4
"364",144.2
"365",144.2
"366",148.8
"367",141.9
"368",146.9
"369",152
"370",152.6
"371",149.7
"372",145
