"","x"
"1",1.673
"2",3.173
"3",0.492
"4",-0.327
"5",-0.333
"6",0.169
"7",-1.822
"8",-0.499
"9",0
"10",1.333
"11",0.662
"12",-0.83
"13",2.983
"14",5.115
"15",2.928
"16",2.417
"17",4.011
"18",4.296
"19",1.415
"20",4.071
"21",3.104
"22",0.462
"23",0
"24",0
"25",1.231
"26",2.451
"27",2.134
"28",-0.15
"29",2.728
"30",0.75
"31",2.407
"32",0.148
"33",0.148
"34",2.091
"35",0.445
"36",0.89
"37",1.776
"38",1.618
"39",0.885
"40",0.584
"41",1.022
"42",2.918
"43",1.012
"44",1.014
"45",0.864
"46",1.436
"47",1.577
"48",0.71
"49",2.849
"50",1.837
"51",1.689
"52",3.221
"53",4.038
"54",3.853
"55",2.998
"56",0.812
"57",2.702
"58",4.29
"59",3.321
"60",4.209
"61",4.427
"62",5.028
"63",4.832
"64",4.522
"65",6.966
"66",5.74
"67",5.539
"68",5.941
"69",6.437
"70",4.496
"71",5.24
"72",3.036
"73",4.574
"74",3.976
"75",2.186
"76",3.149
"77",3.235
"78",3.639
"79",3.603
"80",5.559
"81",8.811
"82",8.807
"83",9.331
"84",11.233
"85",11.316
"86",12.187
"87",11.667
"88",7.267
"89",6.282
"90",8.529
"91",6.384
"92",3.87
"93",4.943
"94",6.387
"95",4.501
"96",7.049
"97",8.596
"98",5.834
"99",4.436
"100",6.76
"101",10.391
"102",9.454
"103",8.088
"104",9.958
"105",13.719
"106",13.21
"107",11.698
"108",15.568
"109",14.447
"110",7.571
