"","x"
"1",1.98
"2",2.153
"3",1.957
"4",1.473
"5",1.06
"6",0.787
"7",0.883
"8",1.017
"9",1.227
"10",1.483
"11",1.857
"12",2.34
"13",2.327
"14",2.567
"15",2.583
"16",3.033
"17",3.1
"18",3.137
"19",3.353
"20",3.303
"21",1.76
"22",0.957
"23",1.68
"24",2.69
"25",2.773
"26",3
"27",3.54
"28",4.23
"29",3.873
"30",2.993
"31",2.36
"32",2.307
"33",2.35
"34",2.303
"35",2.303
"36",2.46
"37",2.723
"38",2.713
"39",2.84
"40",2.813
"41",2.907
"42",2.937
"43",3.293
"44",3.497
"45",3.53
"46",3.477
"47",3.497
"48",3.683
"49",3.89
"50",3.873
"51",3.867
"52",4.167
"53",4.61
"54",4.587
"55",5.043
"56",5.21
"57",4.513
"58",3.66
"59",4.3
"60",4.753
"61",5.05
"62",5.52
"63",5.197
"64",5.587
"65",6.093
"66",6.197
"67",7.023
"68",7.353
"69",7.21
"70",6.677
"71",6.33
"72",5.353
"73",3.84
"74",4.25
"75",5.01
"76",4.23
"77",3.437
"78",3.77
"79",4.22
"80",4.863
"81",5.7
"82",6.603
"83",8.323
"84",7.5
"85",7.617
"86",8.153
"87",8.19
"88",7.36
"89",5.75
"90",5.393
"91",6.33
"92",5.627
"93",4.917
"94",5.157
"95",5.15
"96",4.673
"97",4.63
"98",4.84
"99",5.497
"100",6.11
"101",6.393
"102",6.477
"103",7.313
"104",8.57
"105",9.383
"106",9.377
"107",9.673
"108",11.843
"109",13.353
"110",9.617
