"","x"
"1",68.63
"2",68.63
"3",68.63
"4",68.63
"5",68.63
"6",68.63
"7",59.16
"8",48.7
"9",47.54
"10",50.91
"11",44.7
"12",42.85
"13",39.62
"14",44.45
"15",38.98
"16",42.62
"17",48.27
"18",59.39
"19",51.66
"20",38.55
"21",60.33
"22",72.27
"23",68.62
"24",69.63
"25",72.2
"26",67.87
"27",64.91001
"28",53.85
"29",37.96
"30",23.23
"31",12.68
"32",9.84
"33",7.82
"34",11.78
"35",10.22
"36",12.19
"37",18.6
"38",26.97
"39",22.52
"40",19.18
"41",17.14
"42",18.61
"43",20.02
"44",22.65
"45",38.99
"46",76.55
"47",87.99
"48",99.8
"49",96.69
"50",87.45
"51",88.57
"52",97.43
"53",99.99
"54",94.88
"55",86.99
"56",79.73001
"57",92.35
"58",91.29
"59",94.31
"60",84.95
"61",82.97
"62",92.98001
"63",81.06
"64",62.37
"65",52.99
"66",39.53
"67",42.9
"68",33.76
"69",40.97
"70",60.5
"71",66.61
"72",80.38
"73",95.86
"74",97.74
"75",80.24
"76",73.44
"77",65.67
"78",47.81
"79",33.51
"80",34.22
"81",32.95
"82",32.55
"83",46.92
"84",44.64
"85",53.02
"86",41.98
"87",30.43
"88",24.43
"89",18.05
"90",20.98
"91",12.37
"92",12.03
"93",12.41
"94",15.89
"95",20.46
"96",26.95
"97",30.29
"98",26.21
"99",23.34
"100",25.55
"101",25.4
"102",24.16
"103",23.34
"104",24.38
"105",27.2
"106",29.18
"107",43.3
"108",53.92
"109",59.76
"110",64.52
"111",65.84
"112",70.19
"113",75.27
"114",77.63
"115",76.96
"116",77.7
"117",85.13
"118",99.33999
"119",97.7
"120",97.01999
"121",98.83
"122",99.8
"123",96.74
"124",93.54
"125",82.08
"126",71.51
"127",49.61
"128",41.76
"129",59.78
"130",90.97
"131",85.26
"132",100
"133",98.5
"134",98.7
"135",93.1
"136",79.37
"137",81.97
"138",55.94
"139",50.39
"140",48.64
"141",40.12
"142",63.04
"143",60.51
"144",78.72
"145",71.37
"146",76.43
"147",71.25
"148",56.46
"149",41.84
"150",41.24
"151",35.28
"152",39.86
"153",45.13
"154",53.8
"155",77.54
"156",80.02
"157",81.28
"158",73.58
"159",66.06
"160",59.46
"161",59.49
"162",51.9
"163",35.21
"164",39.65
"165",31.9
"166",61.56
"167",88.25
"168",96.46
"169",83.94
"170",89.05
"171",92.97
"172",98.29
"173",99.79
"174",94.01
"175",87.06
"176",80.46
"177",74.86
"178",67.18
"179",73.85
"180",80.15
"181",69.45
"182",50.39
"183",31.68
"184",31.25
"185",23.11
"186",11.32
"187",8.96
"188",6.03
"189",11.7
"190",34.63
