"","x"
"1",5.98
"2",6.54
"3",6.78
"4",6.34
"5",6.96
"6",6.51
"7",6.72
"8",7.44
"9",7.74
"10",6.85
"11",6.83
"12",7.39
"13",6.48
"14",6.94
"15",5.89
"16",6.49
"17",6.57
"18",5.88
"19",5.46
"20",6.32
"21",6.96
"22",5.91
"23",6.79
"24",7.28
"25",7
"26",7.27
"27",7.34
"28",6.9
"29",7.21
"30",7.51
"31",6.73
"32",6.81
"33",6.2
"34",6.59
"35",6.69
"36",5.65
"37",6.51
"38",5.75
"39",7.34
"40",6.79
"41",6.6
"42",7.47
"43",7.03
"44",6.66
"45",7.02
"46",6.53
"47",7.36
"48",6.6
"49",6.18
"50",6.8
"51",6.33
"52",6.62
"53",5.97
"54",5.51
"55",5.87
"56",5.25
"57",6.28
"58",6.3
"59",6.81
"60",6.97
"61",6.24
"62",7.39
"63",6.98
"64",7.08
