"","x"
"1",3.37
"2",2.59
"3",3.29
"4",3.04
"5",3.39
"6",2.57
"7",2.35
"8",3.38
"9",1.5
"10",2.56
"11",3.04
"12",2.64
"13",5.14
"14",2.87
"15",3.54
"16",2.67
"17",1.55
"18",2.93
"19",3.64
"20",5.91
"21",3.69
"22",4.3
"23",3.97
"24",4.98
"25",5.64
"26",3.99
"27",4.2
"28",4.48
"29",3.96
"30",3.65
"31",4.91
"32",4.26
"33",4.02
"34",2.95
"35",3.73
"36",2.02
"37",4.98
"38",3.05
"39",3.73
"40",3.53
"41",2.24
"42",3.03
"43",2.81
"44",2
"45",2.27
"46",2.9
"47",3.31
"48",3.44
"49",3.13
"50",4.42
"51",3.6
"52",4.86
"53",1.79
"54",2.95
"55",3.64
"56",2.79
"57",3.77
"58",3.25
"59",4.78
"60",3.37
"61",2.24
"62",2
"63",2.78
"64",2.38
"65",3.27
"66",2.82
"67",2.23
"68",1.95
"69",2.57
"70",4.94
"71",3.45
"72",2.83
"73",4.75
"74",3.49
"75",3.84
"76",4.08
"77",6.49
"78",4.05
"79",3.12
"80",4.83
"81",3.35
"82",6.53
"83",3.1
"84",3.53
"85",2.34
"86",6.57
"87",4.07
"88",3.62
"89",1.92
"90",6.04
"91",3.92
"92",3.11
"93",3.77
"94",3.05
"95",2.84
"96",4.19
"97",1.93
"98",3.36
"99",5.92
"100",5.49
"101",4.97
"102",2.53
"103",3.98
"104",3.15
"105",5.44
"106",4.92
"107",4.9
"108",4.82
"109",4.48
"110",3.89
"111",3.75
"112",4.02
"113",2.78
"114",2.64
"115",4.97
"116",2.46
"117",4.57
"118",1.97
"119",2.49
"120",3.49
"121",2.53
"122",3.32
"123",2.26
"124",4.78
"125",5.33
"126",3.46
"127",2.85
"128",5.08
"129",3.65
"130",2.86
"131",2.75
"132",3.05
"133",3.15
"134",2.44
"135",3.87
"136",2.59
"137",3.72
"138",2.67
"139",1.98
"140",4.3
"141",2.95
"142",3.96
"143",2.82
"144",2.66
"145",3.22
"146",3.6
"147",1.92
"148",3.05
"149",3.32
"150",3.42
"151",2.24
"152",3.51
"153",1.93
"154",2.97
"155",2.02
"156",2.2
"157",2.73
"158",2.14
"159",2.11
"160",1.79
"161",2.43
"162",2.08
"163",2.25
"164",2.16
"165",3.28
"166",2.22
"167",3.06
"168",2.41
"169",3.41
"170",2.43
"171",3.76
"172",2.48
"173",4.27
"174",1.7
"175",4.72
"176",4.93
"177",4.57
"178",3.2
"179",4.24
"180",4.73
"181",4.1
"182",3.75
"183",5.91
"184",3.85
"185",2.78
"186",2.6
"187",3.23
"188",4.05
"189",3.95
"190",3.46
"191",4.43
"192",3.85
"193",4.01
"194",2.93
"195",5.65
"196",1.86
"197",2.92
"198",3.44
"199",3.3
"200",3.64
"201",3.1
"202",2.25
"203",1.1
"204",2.39
"205",2.76
"206",3.26
"207",3.26
"208",2.79
"209",3.2
"210",2.15
"211",2.71
"212",2
"213",3.7
"214",1.51
"215",2.24
"216",1.94
"217",2.3
"218",2.49
"219",2.48
"220",2.2
"221",2.26
"222",1.85
"223",2.76
"224",2.26
"225",2.57
"226",2.55
"227",4.26
"228",3.84
"229",1.79
"230",2.55
"231",3.02
"232",2.53
"233",2.49
"234",1.86
"235",2.22
"236",2.9
"237",3.39
"238",3.83
"239",2.7
"240",4.59
"241",2.49
"242",2.33
"243",2.46
"244",3.9
"245",1.97
"246",2.44
"247",2.47
"248",3.75
"249",3.46
"250",4.54
"251",2.89
"252",3.68
"253",4.21
"254",1.81
"255",3.18
"256",2.76
"257",4.66
"258",4.65
"259",1.85
"260",3.22
"261",2.8
"262",2.43
"263",6.06
"264",1.85
"265",2.16
"266",2.7
"267",2.05
"268",2
"269",1.5
"270",2.72
"271",2.19
"272",2.51
"273",3.09
"274",2.15
"275",2.45
"276",2.68
"277",2.28
"278",2.35
"279",1.73
"280",3.27
"281",2.39
"282",3.43
"283",1.88
"284",3.34
"285",2.76
"286",4.28
"287",2.41
"288",2.88
"289",3.06
"290",4.01
"291",2.23
"292",3.52
"293",3.13
"294",3.86
"295",1.72
"296",2.76
"297",1.77
"298",3.88
"299",3.65
"300",3.64
"301",3.18
"302",2.3
"303",4.12
"304",2.75
"305",4.6
"306",3.13
"307",2.48
