"","x"
"1",0.377
"2",0.246
"3",0.311
"4",0.104
"5",-0.016
"6",0.235
"7",0.137
"8",0.191
"9",-0.016
"10",0.29
"11",0.038
"12",-0.016
"13",-0.158
"14",0.366
"15",0.607
"16",-0.355
"17",-0.18
"18",0.268
"19",0.093
"20",0.027
"21",0.246
"22",0.202
"23",0.432
"24",0.617
"25",0.76
"26",0.891
"27",0.607
"28",0.574
"29",0.005
"30",0.475
"31",0.202
"32",-0.027
"33",-0.038
"34",0.716
"35",0.836
"36",0.891
"37",0.53
"38",0.53
"39",0.377
"40",-0.235
"41",-0.585
"42",-0.18
"43",-0.53
"44",-0.464
"45",-0.443
"46",0.049
"47",0.454
"48",0.257
"49",0.41
"50",0.224
"51",0.148
"52",-0.432
"53",-0.093
"54",-0.268
"55",0.158
"56",-0.06
"57",-0.399
"58",0.235
"59",0.366
"60",0.202
"61",0.344
"62",-0.038
"63",0.29
"64",-0.126
"65",-0.366
"66",-0.115
"67",-0.301
"68",-0.486
"69",-0.137
"70",0.738
"71",0.366
"72",0.366
"73",0.65
"74",0.628
"75",0.126
"76",0.169
"77",0.137
"78",-0.257
"79",0.169
"80",-0.093
"81",0.475
"82",0.639
"83",0.596
"84",0.749
"85",0.191
"86",1
"87",0.486
"88",0.41
"89",0.158
"90",0.126
"91",0.06
"92",0.246
"93",0.738
"94",0.803
"95",0.421
"96",0.617
"97",0.705
"98",0.639
"99",0.454
"100",0.311
"101",0.355
"102",-0.158
"103",-0.038
"104",0.115
"105",0.137
"106",0.257
"107",0.115
"108",0.038
"109",0.082
"110",0.148
"111",0.06
"112",-0.191
"113",-0.607
"114",-0.585
"115",-0.268
"116",-0.093
"117",-0.093
"118",0.257
"119",-0.005
"120",0.224
"121",0.169
"122",0.432
"123",0.202
"124",-0.366
"125",-0.661
"126",0.093
"127",-0.716
"128",0.148
"129",-0.093
"130",0.279
"131",0.432
"132",-0.104
"133",0.607
"134",0.18
"135",0.071
"136",0.246
"137",-0.432
"138",0.06
"139",-0.388
"140",0.202
"141",-0.104
"142",0.191
"143",0.475
"144",0.552
"145",0.169
"146",0.333
"147",-0.005
"148",-0.038
"149",-0.126
"150",-0.443
"151",-0.016
"152",0.027
"153",0.333
"154",0.355
"155",0.344
"156",0.115
"157",0.311
"158",0.596
"159",0.005
"160",0.388
"161",-0.5080001
"162",-0.552
"163",-0.858
"164",-0.596
"165",0.06
"166",0.071
"167",0.224
"168",0.279
"169",0.322
"170",0.18
"171",0.126
"172",0.082
"173",0.126
"174",-0.213
"175",-0.235
"176",0.169
"177",0.388
"178",0.519
"179",0.126
"180",0.41
"181",0.738
"182",0.443
"183",0.596
"184",-0.137
"185",-0.486
"186",-0.377
"187",0.268
"188",-0.169
"189",-0.213
"190",-0.191
"191",0.377
"192",0.126
"193",0.311
"194",0.388
"195",0.388
"196",0.18
"197",-0.333
"198",0.049
"199",-0.082
"200",0.191
"201",0.399
"202",0.093
"203",0.005
"204",0.366
"205",0.333
"206",0.377
"207",0.071
"208",-0.158
"209",-0.541
"210",-0.683
"211",-0.683
"212",-0.344
"213",-0.301
"214",0.202
"215",-0.126
"216",0.082
"217",0.115
"218",0.464
"219",0.104
"220",-0.18
"221",-0.672
"222",0.104
"223",-0.486
"224",0.093
"225",0.279
"226",0.104
"227",0.18
"228",0.475
"229",0.53
"230",0.661
"231",0.355
"232",-0.344
"233",-0.038
"234",0.235
"235",0.486
"236",0.169
"237",0.333
"238",0.137
"239",0.169
"240",0.333
"241",0.705
"242",0.377
"243",0.585
"244",-0.126
"245",-0.213
"246",0.148
"247",-0.126
"248",-0.344
"249",-0.5080001
"250",0.279
"251",0.082
"252",0.355
"253",0.082
"254",0.574
"255",0.355
"256",-0.257
"257",-0.377
"258",-0.344
"259",-0.65
"260",-0.093
"261",-0.137
"262",0.115
"263",0.705
"264",0.399
"265",0.366
"266",0.366
"267",0.038
"268",-0.268
"269",0.322
"270",0.082
"271",0.082
"272",0.06
"273",0.268
"274",0.421
"275",0.77
"276",0.803
"277",0.661
"278",0.716
"279",0.628
"280",0.191
"281",0.53
"282",0.18
"283",-0.464
"284",0.279
"285",0.355
"286",0.202
"287",0.552
"288",0.617
"289",0.104
"290",0.224
"291",0.432
"292",-0.213
"293",-0.967
"294",-1
"295",-0.432
"296",-0.683
"297",-0.5080001
"298",-0.137
"299",0.082
"300",-0.06
"301",0.333
"302",0.355
"303",0.388
"304",-0.06
"305",-0.202
"306",0.005
"307",-0.115
"308",0.137
"309",0.454
"310",0.388
"311",0.738
"312",0.77
"313",0.803
"314",0.836
"315",0.65
"316",0.005
"317",-0.366
"318",0.071
"319",-0.005
"320",-0.454
"321",0.191
"322",0.432
"323",0.683
"324",0.388
"325",0.235
"326",-0.093
"327",0.475
"328",-0.082
"329",-0.617
"330",-0.093
"331",-0.071
"332",0.432
"333",0.421
"334",0.497
"335",0.454
"336",0.596
"337",0.552
"338",0.607
"339",0.464
"340",-0.301
"341",-0.77
"342",-0.65
"343",-0.694
"344",-0.137
"345",-0.464
"346",-0.246
"347",0.169
"348",-0.202
"349",0.082
"350",0.607
"351",-0.158
"352",-0.454
"353",-0.781
"354",-0.388
"355",0.18
"356",0.06
"357",-0.5080001
"358",-0.268
"359",0.224
"360",0.115
"361",0.399
"362",0.027
"363",0.016
"364",-0.377
"365",-0.18
"366",-0.038
"367",-0.202
"368",0.137
"369",0.093
"370",-0.279
"371",-0.038
"372",0.235
"373",0.169
"374",0.399
"375",0.158
"376",-0.541
"377",-0.628
"378",0.027
"379",-0.738
"380",-0.913
"381",-0.027
"382",0.071
"383",-0.126
"384",0.049
"385",0.454
"386",0.301
"387",-0.005
"388",-0.093
"389",-0.224
"390",-0.213
"391",-0.311
"392",-0.235
"393",-0.322
"394",0.322
"395",0.093
"396",0.115
"397",0.77
"398",0.607
"399",-0.158
"400",-0.235
"401",-0.202
"402",-0.333
"403",-0.158
"404",-0.224
"405",-0.355
"406",0.005
"407",0.454
"408",0.41
"409",0.519
"410",0.541
"411",0.301
"412",-0.574
"413",-0.344
"414",-0.279
"415",-0.716
"416",-0.869
"417",-0.596
"418",-0.29
"419",-0.454
"420",-0.246
"421",-0.607
"422",-0.563
"423",-0.235
"424",-0.246
"425",-0.399
"426",-0.333
"427",-0.53
"428",-0.049
"429",0.158
"430",0.115
"431",0.322
"432",0.115
"433",0.049
"434",0.454
"435",0.158
"436",-0.421
"437",-0.268
"438",-0.311
"439",-0.115
"440",-0.322
"441",-0.322
"442",0.126
"443",0.333
"444",0.519
"445",0.399
"446",0.519
"447",0.432
"448",0.355
"449",-0.126
"450",-0.5080001
"451",-0.388
"452",0.388
"453",0.071
