"","x"
"1",1814
"2",1556
"3",1442
"4",1416
"5",1352
"6",1154
"7",974
"8",962
"9",1040
"10",1205
"11",1324
"12",1287
"13",1095
"14",840
"15",725
"16",854
"17",1176
"18",1670
"19",2528
"20",3870
"21",4095
"22",4095
"23",4095
"24",3934
"25",3151
"26",2334
"27",1664
"28",1044
"29",474
"30",175
"31",151
"32",339
"33",702
"34",1224
"35",1866
"36",2545
"37",2970
"38",2945
"39",2648
"40",2354
"41",2105
"42",1865
"43",1734
"44",1665
"45",1590
"46",1604
"47",1708
"48",1870
"49",2082
"50",2349
"51",2583
"52",2769
"53",2894
"54",2858
"55",2723
"56",2611
"57",2530
"58",2452
"59",2346
"60",2212
"61",2084
"62",2002
"63",2104
"64",2331
"65",2646
"66",2916
"67",3060
"68",2872
"69",2440
"70",2254
"71",2294
"72",2486
"73",2588
"74",2566
"75",2360
"76",2144
"77",2030
"78",2039
"79",2201
"80",2486
"81",2688
"82",2487
"83",2109
"84",1820
"85",1707
"86",1775
"87",2014
"88",2343
"89",2422
"90",2181
"91",1876
"92",1675
"93",1634
"94",1742
"95",1856
"96",1883
"97",1776
"98",1646
"99",1619
"100",1727
"101",1952
"102",2189
"103",2304
"104",2199
"105",1951
"106",1687
"107",1489
"108",1346
"109",1315
"110",1414
"111",1508
"112",1464
"113",1498
"114",1566
"115",1481
"116",1285
"117",1116
"118",944
"119",946
"120",1199
"121",1630
"122",2201
"123",3059
"124",4062
"125",4095
"126",4094
"127",3593
"128",2941
"129",2245
"130",1702
"131",1220
"132",783
"133",578
"134",563
"135",665
"136",933
"137",1463
"138",2110
"139",2650
"140",3000
"141",3045
"142",2763
"143",2372
"144",2062
"145",1802
"146",1594
"147",1467
"148",1389
"149",1354
"150",1391
"151",1532
"152",1777
"153",2068
"154",2360
"155",2645
"156",2790
"157",2752
"158",2625
"159",2494
"160",2357
"161",2225
"162",2091
"163",1981
"164",1915
"165",1828
"166",1800
"167",1901
"168",2068
"169",2333
"170",2672
"171",2963
"172",2927
"173",2637
"174",2296
"175",2086
"176",2164
"177",2335
"178",2413
"179",2345
"180",2251
"181",2120
"182",2026
"183",2088
"184",2251
"185",2494
"186",2603
"187",2445
"188",2138
"189",1919
"190",1893
"191",1972
"192",2174
"193",2459
"194",2499
"195",2265
"196",1922
"197",1661
"198",1574
"199",1660
"200",1833
"201",1922
"202",1931
"203",1886
"204",1878
"205",1957
"206",2112
"207",2256
"208",2213
"209",2061
"210",1845
"211",1678
"212",1532
"213",1413
"214",1349
"215",1433
"216",1586
"217",1694
"218",1724
"219",1639
"220",1409
"221",1170
"222",985
"223",921
"224",1163
"225",1665
"226",2335
"227",3182
"228",4095
"229",4095
"230",3992
"231",3417
"232",2713
"233",2083
"234",1671
"235",1274
"236",810
"237",524
"238",436
"239",550
"240",832
"241",1367
"242",2117
"243",2693
"244",2894
"245",2887
"246",2653
"247",2379
"248",2178
"249",1999
"250",1835
"251",1683
"252",1540
"253",1477
"254",1524
"255",1681
"256",1915
"257",2231
"258",2511
"259",2675
"260",2722
"261",2687
"262",2620
"263",2550
"264",2514
"265",2426
"266",2281
"267",2161
"268",2084
"269",2066
"270",2095
"271",2145
"272",2205
"273",2217
"274",2267
"275",2375
"276",2594
"277",2771
"278",2892
"279",2918
"280",2620
"281",2236
"282",2016
"283",1985
"284",2048
"285",2134
"286",2186
"287",2141
"288",2105
"289",2079
"290",2108
"291",2211
"292",2349
"293",2430
"294",2332
"295",2131
"296",1946
"297",1858
"298",1847
"299",1913
"300",2028
"301",2048
"302",1942
"303",1807
"304",1736
"305",1751
"306",1824
"307",1899
"308",1977
"309",1989
"310",2027
"311",2157
"312",2265
"313",2279
"314",2194
"315",2047
"316",1821
"317",1644
"318",1519
"319",1403
"320",1355
"321",1473
"322",1596
"323",1622
"324",1568
"325",1512
"326",1407
"327",1327
"328",1198
"329",1135
"330",1310
"331",1683
"332",2173
"333",2832
"334",3740
"335",4037
"336",3767
"337",3317
"338",2770
"339",2212
"340",1748
"341",1388
"342",1042
"343",820
"344",804
"345",945
"346",1227
"347",1701
"348",2284
"349",2698
"350",2867
"351",2854
"352",2653
"353",2398
"354",2204
"355",1988
"356",1770
"357",1592
"358",1444
"359",1331
"360",1365
"361",1524
"362",1755
"363",2032
"364",2309
"365",2496
"366",2549
"367",2484
"368",2412
"369",2354
"370",2315
"371",2247
"372",2129
"373",2008
"374",1896
"375",1899
"376",1947
"377",2026
"378",2091
"379",2099
"380",2116
"381",2194
"382",2305
"383",2450
"384",2626
"385",2792
"386",2686
"387",2427
"388",2114
"389",1974
"390",2024
"391",2134
"392",2172
"393",2142
"394",2133
"395",2098
"396",2081
"397",2134
"398",2258
"399",2370
"400",2324
"401",2199
"402",2075
"403",1990
"404",1956
"405",1947
"406",1978
"407",2032
"408",2012
"409",1957
"410",1899
"411",1895
"412",1902
"413",1912
"414",1938
"415",1958
"416",1986
"417",2064
"418",2247
"419",2362
"420",2328
"421",2173
"422",1935
"423",1762
"424",1685
"425",1661
"426",1656
"427",1660
"428",1666
"429",1635
"430",1592
"431",1582
"432",1576
"433",1566
"434",1430
"435",1225
"436",1144
"437",1324
"438",1754
"439",2343
"440",3147
"441",3874
"442",3961
"443",3607
"444",3123
"445",2572
"446",2116
"447",1844
"448",1525
"449",1069
"450",769
"451",747
"452",907
"453",1222
"454",1745
"455",2381
"456",2778
"457",2918
"458",2821
"459",2584
"460",2419
"461",2304
"462",2155
"463",1933
"464",1697
"465",1472
"466",1314
"467",1354
"468",1540
"469",1811
"470",2087
"471",2336
"472",2462
"473",2459
"474",2428
"475",2389
"476",2400
"477",2437
"478",2387
"479",2210
"480",2035
"481",1923
"482",1880
"483",1924
"484",2012
"485",2102
"486",2129
"487",2088
"488",2095
"489",2231
"490",2485
"491",2704
"492",2834
"493",2772
"494",2535
"495",2213
"496",1930
"497",1805
"498",1892
"499",2103
"500",2171
"501",2055
"502",2048
"503",2095
"504",2108
"505",2192
"506",2419
"507",2554
"508",2454
"509",2166
"510",1888
"511",1761
"512",1765
"513",1854
"514",1937
"515",2050
"516",2062
"517",1951
"518",1832
"519",1814
"520",1874
"521",1924
"522",1957
"523",1964
"524",2027
"525",2151
"526",2234
"527",2167
"528",2004
"529",1930
"530",1882
"531",1790
"532",1702
"533",1651
"534",1577
"535",1492
"536",1459
"537",1525
"538",1600
"539",1660
"540",1639
"541",1468
"542",1200
"543",1110
"544",1382
"545",1898
"546",2548
"547",3384
"548",4080
"549",4032
"550",3531
"551",3027
"552",2624
"553",2317
"554",2013
"555",1532
"556",935
"557",606
"558",621
"559",860
"560",1296
"561",1939
"562",2536
"563",2690
"564",2632
"565",2564
"566",2485
"567",2537
"568",2584
"569",2370
"570",1975
"571",1567
"572",1296
"573",1197
"574",1316
"575",1570
"576",1860
"577",2103
"578",2196
"579",2235
"580",2312
"581",2429
"582",2565
"583",2639
"584",2602
"585",2419
"586",2172
"587",1998
"588",1910
"589",1938
"590",2004
"591",2077
"592",2122
"593",2139
"594",2124
"595",2110
"596",2073
"597",2073
"598",2228
"599",2593
"600",2794
"601",2655
"602",2462
"603",2252
"604",1901
"605",1807
"606",1958
"607",2242
"608",2327
"609",2157
"610",1958
"611",1908
"612",1965
"613",2123
"614",2359
"615",2631
"616",2744
"617",2419
"618",2023
"619",1827
"620",1807
"621",1817
"622",1819
"623",1826
"624",1783
"625",1739
"626",1719
"627",1756
"628",1875
"629",2027
"630",2093
"631",2058
"632",2021
"633",2038
"634",2121
"635",2202
"636",2068
"637",1883
"638",1764
"639",1701
"640",1654
"641",1652
"642",1660
"643",1630
"644",1548
"645",1529
"646",1615
"647",1679
"648",1678
"649",1569
"650",1375
"651",1263
"652",1365
"653",1647
"654",2091
"655",2642
"656",3304
"657",3671
"658",3658
"659",3408
"660",3064
"661",2798
"662",2524
"663",2067
"664",1478
"665",1072
"666",918
"667",957
"668",1200
"669",1619
"670",2086
"671",2400
"672",2473
"673",2472
"674",2428
"675",2476
"676",2597
"677",2512
"678",2240
"679",1900
"680",1616
"681",1453
"682",1446
"683",1602
"684",1767
"685",1879
"686",1976
"687",2067
"688",2132
"689",2224
"690",2386
"691",2500
"692",2470
"693",2330
"694",2134
"695",1978
"696",1881
"697",1876
"698",1913
"699",1955
"700",1951
"701",1963
"702",1995
"703",2025
"704",2083
"705",2292
"706",2579
"707",2658
