"","x"
"1",25
"2",28
"3",31
"4",32
"5",33
"6",33
"7",32
"8",31
"9",28
"10",25
"11",22
"12",18
"13",14
"14",10
"15",7
"16",4
"17",2
"18",0
"19",0
"20",0
"21",2
"22",4
"23",8
"24",11
"25",15
"26",19
"27",23
"28",26
"29",29
"30",32
"31",33
"32",34
"33",33
"34",32
"35",30
"36",27
"37",24
"38",20
"39",17
"40",13
"41",10
"42",7
"43",5
"44",3
"45",3
"46",3
"47",4
"48",5
"49",7
"50",10
"51",13
"52",16
"53",19
"54",22
"55",24
"56",26
"57",27
"58",28
"59",29
"60",28
"61",27
"62",25
"63",24
"64",21
"65",19
"66",17
"67",15
"68",13
"69",12
"70",11
"71",11
"72",10
"73",10
"74",11
"75",12
"76",12
"77",13
"78",14
"79",15
"80",16
"81",17
"82",18
"83",19
"84",19
"85",19
"86",19
"87",20
"88",20
"89",20
"90",20
"91",20
"92",20
"93",20
"94",20
"95",21
"96",20
"97",20
"98",20
"99",20
"100",19
"101",18
"102",17
"103",16
"104",15
"105",13
"106",12
"107",11
"108",10
"109",9
"110",9
"111",10
"112",10
"113",11
"114",12
"115",14
"116",16
"117",19
"118",21
"119",24
"120",25
"121",27
"122",28
"123",29
"124",29
"125",28
"126",27
"127",25
"128",23
"129",20
"130",17
"131",14
"132",11
"133",8
"134",5
"135",4
"136",2
"137",2
"138",2
"139",4
"140",6
"141",9
"142",12
"143",16
"144",19
"145",23
"146",27
"147",30
"148",32
"149",33
"150",34
"151",33
"152",32
"153",30
"154",27
"155",24
"156",20
"157",16
"158",12
"159",9
"160",5
"161",3
"162",1
"163",0
"164",0
"165",1
"166",3
"167",6
"168",9
"169",13
"170",17
"171",21
"172",24
"173",27
"174",30
"175",32
"176",33
"177",33
"178",32
"179",31
"180",28
"181",25
"182",22
"183",19
"184",15
"185",12
"186",9
"187",7
"188",5
"189",4
"190",4
"191",5
"192",5
"193",7
"194",9
"195",12
"196",14
"197",17
"198",20
"199",22
"200",24
"201",25
"202",26
"203",27
"204",27
"205",26
"206",25
"207",24
"208",22
"209",20
"210",18
"211",17
"212",15
"213",14
"214",13
"215",13
"216",12
"217",12
"218",12
"219",13
"220",13
"221",13
"222",14
"223",14
"224",15
"225",15
"226",16
"227",17
"228",17
"229",17
"230",17
"231",18
"232",18
"233",19
"234",19
"235",20
"236",20
"237",21
"238",21
"239",22
"240",22
"241",22
"242",22
"243",22
"244",21
"245",20
"246",19
"247",17
"248",16
"249",14
"250",12
"251",11
"252",9
"253",8
"254",7
"255",8
"256",8
"257",9
"258",10
"259",12
"260",14
"261",17
"262",20
"263",23
"264",25
"265",27
"266",29
"267",30
"268",30
"269",30
"270",29
"271",27
"272",25
"273",22
"274",19
"275",16
"276",12
"277",9
"278",6
"279",4
"280",2
"281",1
"282",1
"283",2
"284",4
"285",7
"286",10
"287",14
"288",17
"289",21
"290",25
"291",29
"292",31
"293",33
"294",34
"295",34
"296",33
"297",31
"298",29
"299",26
"300",22
"301",19
"302",14
"303",11
"304",7
"305",4
"306",2
"307",1
"308",0
"309",1
"310",2
"311",5
"312",7
"313",11
