"","x"
"1",89
"2",84
"3",70
"4",49
"5",47
"6",48
"7",41
"8",32
"9",17
"10",12
"11",11
"12",9
"13",11
"14",11
"15",17
"16",31
"17",45
"18",47
"19",46
"20",53
"21",62
"22",63
"23",72
"24",87
"25",72
"26",60
"27",53
"28",46
"29",49
"30",38
"31",26
"32",22
"33",18
"34",11
"35",19
"36",36
"37",50
"38",67
"39",78
"40",106
"41",112
"42",101
"43",94
"44",82
"45",80
"46",68
"47",53
"48",36
"49",39
"50",32
"51",11
"52",7
"53",11
"54",19
"55",41
"56",88
"57",139
"58",157
"59",142
"60",126
"61",107
"62",87
"63",80
"64",69
"65",51
"66",39
"67",31
"68",24
"69",14
"70",10
"71",12
"72",24
"73",46
"74",79
"75",108
"76",130
"77",138
"78",133
"79",127
"80",118
"81",109
"82",93
"83",76
"84",67
"85",63
"86",61
"87",55
"88",47
"89",41
"90",41
"91",33
"92",23
"93",20
"94",17
"95",10
"96",7
"97",5
"98",4
"99",7
"100",7
"101",6
"102",13
"103",24
"104",34
"105",41
"106",45
"107",43
"108",43
"109",45
"110",47
"111",48
"112",43
"113",35
"114",29
"115",20
"116",11
"117",7
"118",8
"119",7
"120",3
"121",0
"122",0
"123",0
"124",1
"125",3
"126",5
"127",7
"128",12
"129",15
"130",14
"131",20
"132",34
"133",48
"134",47
"135",43
"136",41
"137",36
"138",31
"139",24
"140",24
"141",23
"142",17
"143",11
"144",7
"145",6
"146",4
"147",1
"148",1
"149",6
"150",9
"151",10
"152",16
"153",23
"154",34
"155",47
"156",51
"157",60
"158",63
"159",61
"160",67
"161",71
"162",70
"163",62
"164",50
"165",41
"166",28
"167",14
"168",9
"169",7
"170",12
"171",24
"172",55
"173",93
"174",116
"175",139
"176",142
"177",126
"178",105
"179",82
"180",87
"181",82
"182",64
"183",50
"184",37
"185",29
"186",25
"187",19
"188",11
"189",12
"190",15
"191",28
"192",38
"193",47
"194",61
"195",65
"196",97
"197",123
"198",122
"199",121
"200",99
"201",78
"202",69
"203",67
"204",64
"205",60
"206",55
"207",45
"208",40
"209",30
"210",21
"211",16
"212",7
"213",3
"214",4
"215",9
"216",22
"217",36
"218",54
"219",76
"220",93
"221",95
"222",95
"223",91
"224",78
"225",68
"226",61
"227",55
"228",44
"229",43
"230",48
"231",41
"232",31
"233",24
"234",17
"235",7
"236",6
"237",17
"238",36
"239",57
"240",73
"241",106
"242",138
"243",135
"244",113
"245",98
"246",102
"247",92
"248",68
"249",52
"250",45
"251",33
"252",18
"253",13
"254",11
"255",13
"256",13
"257",7
"258",3
"259",2
"260",6
"261",16
"262",31
"263",44
"264",54
"265",62
"266",60
"267",55
"268",62
"269",74
"270",65
"271",55
"272",53
"273",41
"274",26
"275",14
"276",13
"277",11
"278",7
"279",5
"280",6
"281",6
"282",7
"283",17
"284",35
"285",56
"286",71
"287",77
"288",84
"289",87
"290",79
"291",71
"292",64
"293",53
"294",43
"295",35
"296",27
"297",26
"298",28
"299",20
"300",12
"301",11
"302",10
"303",5
"304",3
"305",3
"306",5
"307",11
"308",23
"309",33
"310",42
"311",51
"312",63
"313",62
"314",53
"315",60
"316",63
"317",51
"318",49
"319",51
"320",43
"321",33
"322",21
"323",13
"324",6
"325",3
"326",3
"327",3
"328",2
"329",4
"330",9
"331",24
"332",47
"333",59
"334",56
"335",69
"336",101
"337",98
"338",84
"339",78
"340",65
"341",51
"342",38
"343",31
"344",27
"345",23
"346",14
"347",7
"348",6
"349",8
"350",16
"351",24
"352",41
"353",61
"354",65
"355",72
"356",71
"357",69
"358",77
"359",68
"360",63
"361",57
"362",39
"363",28
"364",22
"365",15
"366",11
"367",9
"368",6
"369",5
"370",8
"371",15
"372",34
"373",57
"374",77
"375",101
"376",116
"377",110
"378",109
"379",103
"380",91
"381",76
"382",67
"383",58
"384",49
"385",48
"386",31
"387",21
"388",17
"389",9
"390",9
"391",19
"392",33
"393",56
"394",89
"395",126
"396",152
"397",145
"398",135
"399",139
"400",136
"401",118
"402",87
"403",72
"404",70
"405",47
"406",32
"407",26
"408",15
"409",7
"410",4
"411",12
"412",35
"413",81
"414",137
"415",164
"416",188
"417",200
"418",187
"419",181
"420",161
"421",131
"422",114
"423",84
"424",56
"425",49
"426",38
"427",30
"428",28
"429",21
"430",10
"431",11
"432",15
"433",25
"434",45
"435",73
"436",91
"437",101
"438",107
"439",110
"440",106
"441",105
"442",105
"443",84
"444",67
"445",69
"446",71
"447",51
"448",39
"449",32
"450",35
"451",25
"452",16
"453",16
"454",12
"455",15
"456",26
"457",57
"458",89
"459",110
