"","x"
"1",72.38
"2",67.19
"3",62.94
"4",72.49
"5",74.25
"6",67.88
"7",74.2
"8",74.88
"9",64.17
"10",67.09
"11",78.29
"12",68.07
"13",86.7
"14",69.43
"15",75.22
"16",77.29
"17",69.96
"18",79.35
"19",82.94
"20",89.79
"21",80.19
"22",87.58
"23",81.76
"24",86.79
"25",87.46
"26",88.21
"27",83.4
"28",86.1
"29",82.16
"30",81.31
"31",78.99
"32",92.56
"33",84.5
"34",76.44
"35",73.97
"36",69.63
"37",81.05
"38",69.57
"39",78.05
"40",70.61
"41",60.95
"42",67.74
"43",68.5
"44",54.84
"45",60.58
"46",62.14
"47",51.26
"48",72.55
"49",64.42
"50",78.25
"51",59.17
"52",80.89
"53",58.63
"54",62.5
"55",67.52
"56",63.56
"57",74.87
"58",64.98
"59",82.7
"60",72.63
"61",65.36
"62",63.33
"63",66.1
"64",64.85
"65",76.37
"66",75.27
"67",65.15
"68",69.62
"69",72.81
"70",85.57
"71",78.58
"72",77.32
"73",87.27
"74",86.29
"75",83.55
"76",88.57
"77",95.34
"78",88.18
"79",82.71
"80",89.8
"81",81.63
"82",98.95
"83",82.58
"84",79.74
"85",77.31
"86",99.88
"87",69.19
"88",76.29
"89",64.28
"90",78.61
"91",65.87
"92",68.18
"93",65.98
"94",63.95
"95",57.65
"96",64.27
"97",55.18
"98",63.52
"99",63.95
"100",69.91
"101",58.9
"102",65.25
"103",62.79
"104",71.43
"105",68.72
"106",66.96
"107",75.68
"108",68.57
"109",68.62
"110",69.61
"111",71.89
"112",73.66
"113",70.67
"114",69.9
"115",80.23
"116",67.16
"117",81.71
"118",66.2
"119",80.79
"120",84.12
"121",75.52
"122",81.55
"123",75.88
"124",82.45
"125",84.86
"126",84.93
"127",79.73
"128",97.2
"129",85.97
"130",82
"131",81.95
"132",83.56
"133",86.14
"134",77.63
"135",77.19
"136",82.16
"137",78.57
"138",78.92
"139",74.47
"140",71.01
"141",72.2
"142",72.59
"143",65.8
"144",64.16
"145",73.18
"146",74.71
"147",50.91
"148",66.46
"149",75.48
"150",67.78
"151",56.68
"152",70.08
"153",58.58
"154",67.7
"155",63.88
"156",59.07
"157",68.55
"158",68.35
"159",65.6
"160",58.75
"161",65.67
"162",59.85
"163",63.95
"164",77.14
