"","x"
"1",235.1
"2",280.7
"3",264.6
"4",240.7
"5",201.4
"6",240.8
"7",241.1
"8",223.8
"9",206.1
"10",174.7
"11",203.3
"12",220.5
"13",299.5
"14",347.4
"15",338.3
"16",327.7
"17",351.6
"18",396.6
"19",438.8
"20",395.6
"21",363.5
"22",378.8
"23",357
"24",369
"25",464.8
"26",479.1
"27",431.3
"28",366.5
"29",326.3
"30",355.1
"31",331.6
"32",261.3
"33",249
"34",205.5
"35",235.6
"36",240.9
"37",264.9
"38",253.8
"39",232.3
"40",193.8
"41",177
"42",213.2
"43",207.2
"44",180.6
"45",188.6
"46",175.4
"47",199
"48",179.6
"49",225.8
"50",234
"51",200.2
"52",183.6
"53",178.2
"54",203.2
"55",208.5
"56",191.8
"57",172.8
"58",148
"59",159.4
"60",154.5
"61",213.2
"62",196.4
"63",182.8
"64",176.4
"65",153.6
"66",173.2
"67",171
"68",151.2
"69",161.9
"70",157.2
"71",201.7
"72",236.4
"73",356.1
"74",398.3
"75",403.7
"76",384.6
"77",365.8
"78",368.1
"79",367.9
"80",347
"81",343.3
"82",292.9
"83",311.5
"84",300.9
"85",366.9
"86",356.9
"87",329.7
"88",316.2
"89",269
"90",289.3
"91",266.2
"92",253.6
"93",233.8
"94",228.4
"95",253.6
"96",260.1
"97",306.6
"98",309.2
"99",309.5
"100",271
"101",279.9
"102",317.9
"103",298.4
"104",246.7
"105",227.3
"106",209.1
"107",259.9
"108",266
"109",320.6
"110",308.5
"111",282.2
"112",262.7
"113",263.5
"114",313.1
"115",284.3
"116",252.6
"117",250.3
"118",246.5
"119",312.7
"120",333.2
"121",446.4
"122",511.6
"123",515.5
"124",506.4
"125",483.2
"126",522.3
"127",509.8
"128",460.7
"129",405.8
"130",375
"131",378.5
"132",406.8
"133",467.8
"134",469.8
"135",429.8
"136",355.8
"137",332.7
"138",378
"139",360.5
"140",334.7
"141",319.5
"142",323.1
"143",363.6
"144",352.1
"145",411.9
"146",388.6
"147",416.4
"148",360.7
"149",338
"150",417.2
"151",388.4
"152",371.1
"153",331.5
"154",353.7
"155",396.7
"156",447
"157",533.5
"158",565.4
"159",542.3
"160",488.7
"161",467.1
"162",531.3
"163",496.1
"164",444
"165",403.4
"166",386.3
"167",394.1
"168",404.1
"169",462.1
"170",448.1
"171",432.3
"172",386.3
"173",395.2
"174",421.9
"175",382.9
"176",384.2
"177",345.5
"178",323.4
"179",372.6
"180",376
"181",462.7
"182",487
"183",444.2
"184",399.3
"185",394.9
"186",455.4
"187",414
"188",375.5
"189",347
"190",339.4
"191",385.8
"192",378.8
"193",451.8
"194",446.1
"195",422.5
"196",383.1
"197",352.8
"198",445.3
"199",367.5
"200",355.1
"201",326.2
"202",319.8
"203",331.8
"204",340.9
"205",394.1
"206",417.2
"207",369.9
"208",349.2
"209",321.4
"210",405.7
"211",342.9
"212",316.5
"213",284.2
"214",270.9
"215",288.8
"216",278.8
"217",324.4
"218",310.9
"219",299
"220",273
"221",279.3
"222",359.2
"223",305
"224",282.1
"225",250.3
"226",246.5
"227",257.9
"228",266.5
"229",315.9
"230",318.4
"231",295.4
"232",266.4
"233",245.8
"234",362.8
"235",324.9
"236",294.2
"237",289.5
"238",295.2
"239",290.3
"240",272
"241",307.4
"242",328.7
"243",292.9
"244",249.1
"245",230.4
"246",361.5
"247",321.7
"248",277.2
"249",260.7
"250",251
"251",257.6
"252",241.8
"253",287.5
"254",292.3
"255",274.7
"256",254.2
"257",230
"258",339
"259",318.2
"260",287
"261",295.8
"262",284
"263",271
"264",262.7
"265",340.6
"266",379.4
"267",373.3
"268",355.2
"269",338.4
"270",466.9
"271",451
"272",422
"273",429.2
"274",425.9
"275",460.7
"276",463.6
"277",541.4
"278",544.2
"279",517.5
"280",469.4
"281",439.4
"282",549
"283",533
"284",506.1
"285",484
"286",457
"287",481.5
"288",469.5
"289",544.7
"290",541.2
"291",521.5
"292",469.7
"293",434.4
"294",542.6
"295",517.3
"296",485.7
"297",465.8
"298",447
"299",426.6
"300",411.6
"301",467.5
"302",484.5
"303",451.2
"304",417.4
"305",379.9
"306",484.7
"307",455
"308",420.8
"309",416.5
"310",376.3
"311",405.6
"312",405.8
"313",500.8
"314",514
"315",475.5
"316",430.1
"317",414.4
"318",538
"319",526
"320",488.5
"321",520.2
"322",504.4
"323",568.5
"324",610.6
"325",818
"326",830.9
"327",835.9
"328",782
"329",762.3
"330",856.9
"331",820.9
"332",769.6
"333",752.2
"334",724.4
"335",723.1
"336",719.5
"337",817.4
"338",803.3
"339",752.5
"340",689
"341",630.4
"342",765.5
"343",757.7
"344",732.2
"345",702.6
"346",683.3
"347",709.5
"348",702.2
"349",784.8
"350",810.9
"351",755.6
"352",656.8
"353",615.1
"354",745.3
"355",694.1
"356",675.7
"357",643.7
"358",622.1
"359",634.6
"360",588
"361",689.7
"362",673.9
"363",647.9
"364",568.8
"365",545.7
"366",632.6
"367",643.8
"368",593.1
"369",579.7
"370",546
"371",562.9
"372",572.5
