"","x"
"1",26.28
"2",27.42
"3",42.28
"4",58.28
"5",20.57
"6",28.57
"7",49.14
"8",24
"9",16
"10",42.28
"11",30.85
"12",36.57
"13",20.57
"14",24
"15",32
"16",18.28
"17",21.71
"18",11.42
"19",11.42
"20",12.57
"21",57.14
"22",60.57
"23",21.71
"24",29.71
"25",43.42
"26",40
"27",18.28
"28",21.71
"29",25.14
"30",20.57
"31",22.85
"32",28.57
"33",30.85
"34",16.66
"35",15.24
"36",15.58
"37",31.17
"38",48.97
"39",9
"40",19.03
"41",12.39
"42",19.08
"43",15.78
"44",30.25
"45",14.73
"46",29.2
"47",17.01
"48",37.04
"49",50.4
"50",32.65
"51",16.01
"52",19.37
"53",20.51
"54",50.54
"55",12.79
"56",18.37
"57",21.74
"58",36.21
"59",17.35
"60",27.38
"61",12.96
"62",34.11
"63",18.58
"64",36.38
"65",25.3
"66",20.88
"67",34.25
"68",36.5
"69",19.86
"70",22.11
"71",54.36
"72",45.5
"73",46.64
"74",56.67
"75",34.47
"76",10.06
"77",5.63
"78",21.23
"79",20.14
"80",19.06
"81",20.19
"82",6.89
"83",8.04
"84",23.61
"85",30.31
"86",17
"87",3.7
"88",12.62
"89",18.2
"90",6.01
"91",8.26
"92",18.29
"93",14.97
"94",8.34
"95",18.37
"96",22.85
"97",21.77
"98",11.78
"99",5.15
"100",31.84
"101",19.66
"102",14.13
"103",18.6
"104",10.85
"105",16.43
"106",20.91
"107",6.48
"108",4.3
"109",19.45
"110",15.15
"111",19.5
"112",27.1
"113",24.96
"114",25
"115",15.29
"116",16.4
"117",18.58
"118",15.37
"119",15.4
"120",24.07
"121",7.89
"122",17.63
"123",16.59
"124",28.5
"125",24.21
"126",14.5
"127",13.45
"128",18.89
"129",5.93
"130",25.43
"131",12.47
"132",15.75
"133",15.78
"134",22.29
"135",13.68
"136",16.94
"137",19.13
"138",20.23
"139",13.78
"140",15.97
"141",20.32
"142",21.43
"143",12.81
"144",19.33
"145",13.94
"146",11.81
"147",21.56
"148",22.67
"149",17.3
"150",15.16
"151",20.59
"152",20.61
"153",17.41
"154",22.84
"155",17.46
"156",26.14
"157",20.75
"158",3.48
"159",16.48
"160",16.51
"161",16.54
"162",16.57
"163",17.68
"164",17.7
"165",39.35
"166",14.51
"167",8.06
"168",13.49
"169",15.68
"170",17.86
"171",13.57
"172",14.68
"173",16.86
"174",9.33
"175",13.68
"176",16.95
"177",8.33
"178",19.17
"179",6.22
"180",7.32
"181",6.27
"182",14.95
"183",10.66
"184",12.62
"185",13.59
"186",22.94
"187",22.83
"188",19.57
"189",11.01
"190",16.21
"191",11.88
"192",12.87
"193",16.94
"194",25.25
"195",16.73
"196",8.18
"197",14.4
"198",7.96
"199",24.73
"200",16.18
"201",21.37
"202",8.62
"203",8.49
"204",23.14
"205",25.14
"206",7.17
"207",8.09
"208",17.45
"209",16.3
"210",23.55
"211",12.93
"212",8.63
"213",6.43
"214",23.14
"215",9.37
"216",12.41
"217",15.47
"218",16.41
"219",11.05
"220",14.12
"221",11.88
"222",10.73
"223",48.5
"224",9.46
"225",9.35
"226",12.4
"227",20.74
"228",14.29
"229",15.27
"230",20.4
"231",20.29
"232",22.29
"233",12.73
"234",9.47
"235",12.21
"236",12.27
"237",24.56
"238",62.4
"239",14.68
"240",18.07
"241",22.57
"242",14.84
"243",13.78
"244",20.52
"245",46.13
"246",15.08
"247",27.35
"248",12.97
"249",8.58
"250",8.63
"251",18.69
"252",9.85
"253",22.14
"254",11.09
"255",8.93
"256",8.97
"257",6.81
"258",12.42
"259",16.92
"260",12.54
"261",13.71
"262",26
"263",13.82
"264",11.66
"265",29.5
"266",12.88
"267",25.16
"268",20.77
"269",14.18
"270",20.89
"271",12.06
"272",21.01
"273",11.05
"274",11.12
"275",26.72
"276",21.23
"277",31.27
"278",21.34
"279",16.94
"280",29.23
"281",22.62
"282",29.35
"283",43.86
"284",47.22
"285",26.18
"286",68.46
"287",29.64
"288",75.25
"289",38.63
"290",15.37
"291",15.41
"292",31.04
"293",17.74
"294",30.03
"295",13.41
"296",15.7
"297",27.99
"298",15.8
"299",48.09
"300",31.46
"301",12.65
"302",12.7
"303",24.99
"304",28.39
"305",22.87
"306",14.03
"307",32.98
"308",26.38
"309",31.99
"310",16.08
"311",16.2
"312",28.87
"313",22.14
"314",33.72
"315",15.53
"316",38.5
"317",45.43
"318",42.14
"319",7.99
"320",8.1
"321",7.1
"322",14.02
"323",45
"324",29.11
"325",42.95
"326",27.06
"327",29.46
"328",21.6
"329",29.68
"330",19.52
"331",21.9
"332",33.47
"333",26.72
"334",25.7
"335",12.12
"336",32.77
"337",20.32
"338",30.7
"339",42.26
"340",50.39
"341",39.08
"342",67.76
"343",64.44
"344",29.16
"345",64.64
"346",20.23
"347",38.61
"348",30.75
"349",32.01
"350",35.53
"351",29.95
"352",34.61
"353",61.02
"354",44
"355",74.95
"356",78.48
"357",164
"358",75.28
"359",33.12
"360",16.11
"361",31.06
"362",19.78
"363",35.9
"364",31.43
"365",29.25
"366",29.35
"367",14.64
"368",54.73
"369",86.84
"370",27.55
"371",32.24
"372",33.5
"373",34.73
"374",29.14
"375",23.53
"376",22.53
"377",30.64
"378",33.04
"379",91.4
"380",59.53
"381",41.39
"382",35.78
"383",16.49
"384",51.76
"385",24.7
"386",42.35
"387",31.76
"388",40
"389",88.23
"390",74.11
"391",60
"392",61.17
"393",52.94
"394",44.7
"395",48.23
"396",76.47
"397",63.52
"398",76.47
"399",54.11
"400",38.82
"401",52.94
"402",43.52
"403",57.64
"404",23.52
"405",36.47
"406",43.52
"407",22.35
"408",45.88
"409",38.82
"410",56.47
"411",62.35
"412",75.29
"413",37.64
"414",48.23
"415",38.82
"416",48.23
"417",65.88
"418",97.64
"419",55.29
"420",22.35
"421",52.94
"422",16.47
"423",17.64
"424",38.82
"425",54.11
"426",71.76
"427",48.23
"428",34.11
"429",29.41
"430",45.88
"431",41.17
"432",72.94
"433",121.17
"434",51.76
"435",84.44
"436",104.47
"437",53.39
"438",51.19
"439",62.34
